rollout/ep_rew_mean,time/total_timesteps,rollout/ep_len_mean,time/iterations,time/fps,time/time_elapsed,train/loss,train/clip_range,train/policy_gradient_loss,train/learning_rate,train/value_loss,train/explained_variance,train/entropy_loss,train/approx_kl,train/n_updates,train/clip_fraction
28.938,1871096,294.49,24,113,217,-0.016638394445180893,0.2,-0.003789040696574375,0.0001,0.032398248091340065,0.995733916759491,-0.6044421568512917,0.0036995807,7287,0.0224609375
28.938000000000002,1872120,294.58,25,113,225,0.07699935138225555,0.2,-0.0052372858772287145,0.0001,0.153192040277645,0.9759550094604492,-0.5098867136985064,0.005592444,7291,0.020751953125
29.0062,1873144,296.18,26,113,234,0.006301244720816612,0.2,-0.004327323782490566,0.0001,0.0423078277381137,0.9947544932365417,-0.5029061045497656,0.0039397976,7295,0.01220703125
28.936699999999995,1874168,295.46,27,113,244,-0.004554279148578644,0.2,-0.008256115252152085,0.0001,0.037297935457900167,0.9963605999946594,-0.5922526493668556,0.0050705355,7299,0.018310546875
28.854799999999997,1875192,295.23,28,113,253,0.03227202594280243,0.2,-0.005090029881102964,0.0001,0.135700270999223,0.9812806248664856,-0.4951772540807724,0.0068598264,7303,0.047607421875
28.744199999999996,1876216,293.55,29,112,262,0.2419469952583313,0.2,-0.005415369640104473,0.0001,0.36427176697179675,0.9697866439819336,-0.5598759837448597,0.010111306,7307,0.068359375
29.030500000000004,1877240,296.73,30,113,271,0.0505690723657608,0.2,-0.004064168373588473,0.0001,0.2391081154346466,0.9698117971420288,-0.4741987232118845,0.0040548695,7311,0.02099609375
29.030699999999996,1878264,296.02,31,112,281,0.011997854337096214,0.2,-0.009227946022292599,0.0001,0.09528231644071639,0.9892378449440002,-0.5381679385900497,0.006266631,7315,0.0341796875
28.745899999999995,1879288,293.63,32,112,290,-0.014206843450665474,0.2,-0.007258438796270639,0.0001,0.028335996088571846,0.9958845376968384,-0.47795437276363373,0.008249601,7319,0.056640625
28.748100000000004,1880312,292.88,33,112,299,0.2303815484046936,0.2,-0.002665446081664413,0.0001,0.8212496172636747,0.914526104927063,-0.5366361476480961,0.007231045,7323,0.032958984375
28.748,1881336,293.25,34,112,308,0.013254093006253242,0.2,-0.00485028512775898,0.0001,0.10417693969793618,0.9859434366226196,-0.45795287750661373,0.0023952588,7327,0.009033203125
28.747400000000006,1882360,293.03,35,112,317,-0.01185116358101368,0.2,-0.0030968275968916714,0.0001,0.02375240286346525,0.9962076544761658,-0.5101056601852179,0.00377585,7331,0.017333984375
28.821199999999997,1883384,291.97,36,112,327,-0.007568686734884977,0.2,-0.004899876250419766,0.0001,0.013682280026841909,0.9981812834739685,-0.5359868295490742,0.0030613279,7335,0.02392578125
28.6866,1884408,290.24,37,112,336,-0.01065889187157154,0.2,-0.006935271696420386,0.0001,0.019376442418433726,0.9980313777923584,-0.5515233874320984,0.004085045,7339,0.0234375
28.499499999999998,1885432,288.11,38,112,345,0.11682850122451782,0.2,-0.0029796609887853265,0.0001,0.44806599244475365,0.9591851234436035,-0.4933024197816849,0.0060093002,7343,0.029541015625
28.537499999999994,1886456,290.27,39,112,354,0.37744787335395813,0.2,-0.003602930693887174,0.0001,0.8098359182476997,0.9030634760856628,-0.4045556504279375,0.0063240654,7347,0.021728515625
28.580499999999997,1887480,290.53,40,112,364,-0.003083018586039543,0.2,-0.007255727810843382,0.0001,0.056443240493535995,0.9919131994247437,-0.5505825411528349,0.0060849083,7351,0.033203125
28.5798,1888504,290.48,41,112,372,-0.004146840423345566,0.2,-0.0030552293683285825,0.0001,0.02467329113278538,0.9962667226791382,-0.4359609857201576,0.0026982652,7355,0.012451171875
28.718100000000003,1889528,291.7,42,112,381,0.03123321756720543,0.2,-0.004929510469082743,0.0001,0.15253356471657753,0.9814619421958923,-0.5489969700574875,0.0049817082,7359,0.029296875
28.748100000000004,1890552,290.58,43,112,391,0.0316840223968029,0.2,-0.006955929275136441,0.0001,0.12538653379306197,0.985747218132019,-0.4898634869605303,0.0072864546,7363,0.03857421875
28.7874,1891576,290.76,44,112,400,0.03820500522851944,0.2,-0.007153523154556751,0.0001,0.08137826179154217,0.9899471402168274,-0.4663965832442045,0.00502535,7367,0.031982421875
28.7872,1892600,290.86,45,112,408,-0.008230586536228657,0.2,-0.007261212449520826,0.0001,0.01693797652842477,0.9976973533630371,-0.5038724914193153,0.0055522937,7371,0.036865234375
28.571499999999997,1893624,288.1,46,112,418,-0.0006018374115228653,0.2,-0.006782736221794039,0.0001,0.05384130240418017,0.9936755895614624,-0.4900081567466259,0.006010084,7375,0.0400390625
28.708799999999997,1894648,288.89,47,112,427,0.39793863892555237,0.2,-0.0024444555456284434,0.0001,0.9552514012902975,0.8969170451164246,-0.47531725838780403,0.0032029273,7379,0.022216796875
28.7111,1895672,288.23,48,112,436,0.044226616621017456,0.2,-0.006279992725467309,0.0001,0.1176209757104516,0.9878904223442078,-0.5671300329267979,0.0053679366,7383,0.024658203125
29.030099999999997,1896696,291.25,49,112,445,0.5423706769943237,0.2,-0.0018930107034975663,0.0001,0.5930193532258272,0.9334287047386169,-0.5109991859644651,0.00520021,7387,0.0283203125
29.0704,1897720,291.92,50,112,453,0.0974983498454094,0.2,-0.003808733948972076,0.0001,0.22354684863239527,0.9754345417022705,-0.5838217176496983,0.0054118764,7391,0.021240234375
29.003600000000002,1898744,290.53,51,112,463,0.033263497054576874,0.2,-0.002322636981261894,0.0001,0.12465252028778195,0.9785147905349731,-0.5190954767167568,0.003231193,7395,0.01416015625
28.9403,1899768,289.84,52,112,472,-0.011205899529159069,0.2,-0.009562274732161313,0.0001,0.02335791557561606,0.9960143566131592,-0.43316926807165146,0.0058380924,7399,0.03515625
28.941800000000004,1900792,289.03,53,112,480,0.22748498618602753,0.2,-0.003276699921116233,0.0001,0.46261527854949236,0.9428236484527588,-0.4552660193294287,0.002574379,7403,0.013916015625
28.8723,1901816,288.17,54,112,490,-0.004964117892086506,0.2,-0.005042903707362711,0.0001,0.037097869790159166,0.9950255751609802,-0.4702655766159296,0.0040574037,7407,0.0205078125
