decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated,game_score,score_gain,coins
20,80,235,79,235,2,right+A,0.00988162774592638,0.030962642282247543,0.6599026322364807,0.013252926990389824,0.28600022196769714,0.8428196907043457,11.0,191.0,0,2,396,0,0,0,0,0,0
21,84,247,79,247,2,right+A,0.011064762249588966,0.03522642329335213,0.6401985883712769,0.01174349244683981,0.3017667531967163,0.8669560551643372,12.0,203.0,0,2,396,0,0,0,0,0,0
22,88,257,79,257,2,right+A,0.021554162725806236,0.08895613998174667,0.5218672752380371,0.040589842945337296,0.3270326256752014,1.1329213380813599,10.0,213.0,0,2,396,0,0,0,0,0,0
23,92,264,79,264,3,right+B,0.038922976702451706,0.2485184520483017,0.30134785175323486,0.2243213653564453,0.1868893802165985,1.4825570583343506,7.0,220.0,0,2,396,0,0,0,0,0,0
24,96,272,79,272,0,NOOP,0.043271083384752274,0.30952712893486023,0.19850198924541473,0.34183773398399353,0.10686204582452774,1.4257391691207886,8.0,228.0,0,2,396,0,0,0,0,0,0
25,100,280,79,280,1,right,0.04172118008136749,0.31640157103538513,0.18049027025699615,0.37256819009780884,0.08881885558366776,1.3885420560836792,7.0,235.0,0,2,395,0,0,0,0,0,0
26,104,290,97,290,2,right+A,0.05515829101204872,0.2487572878599167,0.35287314653396606,0.17829300463199615,0.16491816937923431,1.478151798248291,10.0,245.0,0,2,395,0,0,0,0,0,0
27,108,301,117,301,4,right+A+B,0.04366779699921608,0.15768392384052277,0.4908686876296997,0.08248020708560944,0.22529934346675873,1.3188635110855103,11.0,256.0,0,2,395,0,0,0,0,0,0
28,112,306,132,306,3,right+B,0.05921383947134018,0.2251683622598648,0.3542898893356323,0.18488220870494843,0.17644567787647247,1.4888797998428345,5.0,261.0,0,2,395,0,0,0,0,0,0
29,116,306,134,306,1,right,0.051618095487356186,0.2564567029476166,0.15561284124851227,0.46258118748664856,0.07373116165399551,1.340335488319397,0.0,261.0,1,2,395,0,0,0,0,0,0
30,120,306,123,306,3,right+B,0.05495477095246315,0.24922579526901245,0.15728367865085602,0.4693272113800049,0.06920862942934036,1.3364944458007812,-1.0,260.0,2,2,394,0,0,0,0,0,0
31,124,306,104,306,1,right,0.04829222336411476,0.23124724626541138,0.11875516921281815,0.5546368956565857,0.04706842452287674,1.2087616920471191,0.0,260.0,3,2,394,0,0,0,0,0,0
