time/iterations,time/fps,rollout/ep_len_mean,time/total_timesteps,rollout/ep_rew_mean,time/time_elapsed,train/entropy_loss,train/clip_range,train/loss,train/value_loss,train/approx_kl,train/learning_rate,train/clip_fraction,train/n_updates,train/policy_gradient_loss,train/explained_variance
14,186,283.22,1723108,28.2918,76,-0.39622495509684086,0.2,0.05949147790670395,0.21735943108797073,0.004845349,0.0001,0.0263671875,6711,-0.004611025826307014,0.9664790034294128
15,185,282.91,1724132,28.2505,82,-0.5844537690281868,0.2,0.022363703697919846,0.10019259434193373,0.0081511885,0.0001,0.08447265625,6715,-0.008692645642440766,0.9883435964584351
16,185,280.99,1725156,28.0077,88,-0.5292321722954512,0.2,0.02974739670753479,0.11873745219781995,0.0068105445,0.0001,0.0390625,6719,-0.007565772393718362,0.985954225063324
17,185,280.75,1726180,28.008799999999997,93,-0.4930497407913208,0.2,0.3377588987350464,0.5404058210551739,0.0057296734,0.0001,0.026123046875,6723,-0.00571835896698758,0.9340324401855469
18,184,281.85,1727204,28.214000000000002,99,-0.5613596998155117,0.2,4.867278039455414e-05,0.04370530019514263,0.006921734,0.0001,0.03271484375,6727,-0.004583199799526483,0.9940704703330994
19,184,281.2,1728228,28.0922,105,-0.46948567032814026,0.2,0.09625144302845001,0.2797942766919732,0.0036144205,0.0001,0.017333984375,6731,-0.0022645828139502555,0.9579410552978516
20,184,282.2,1729252,28.1584,110,-0.41598861664533615,0.2,0.10357597470283508,0.42667106352746487,0.0035433099,0.0001,0.025390625,6735,-0.0024513406096957624,0.9318399429321289
21,184,283.11,1730276,28.199900000000003,116,-0.5170555729418993,0.2,0.21859325468540192,0.40301123820245266,0.004618765,0.0001,0.022216796875,6739,-0.0042903078137896955,0.9508017897605896
22,184,281.51,1731300,28.06009999999999,122,-0.5417774431407452,0.2,0.0034219473600387573,0.07301193429157138,0.004761098,0.0001,0.036865234375,6743,-0.004094295538379811,0.9903128743171692
23,183,282.84,1732324,28.100700000000003,128,-0.41197260469198227,0.2,0.23828473687171936,0.4386818390339613,0.0026104832,0.0001,0.028564453125,6747,-0.004701665951870382,0.9327442646026611
24,183,285.16,1733348,28.304500000000008,133,-0.5529902558773756,0.2,0.0033628568053245544,0.06125361379235983,0.002913001,0.0001,0.0146484375,6751,-0.004859161330386996,0.9947641491889954
25,183,286.81,1734372,28.3446,139,-0.5218471679836512,0.2,-0.005855608731508255,0.05729423905722797,0.0042231395,0.0001,0.016845703125,6755,-0.005766413174569607,0.9912627339363098
26,183,285.92,1735396,28.238000000000003,145,-0.5951121002435684,0.2,0.008693777024745941,0.04441180336289108,0.004254436,0.0001,0.024169921875,6759,-0.0069091011537238955,0.9948697090148926
27,183,285.69,1736420,28.238500000000002,150,-0.49521907791495323,0.2,0.4633592367172241,0.8121869098395109,0.0039843293,0.0001,0.01708984375,6763,-0.005158683052286506,0.8974902033805847
28,183,286.7,1737444,28.165800000000004,156,-0.43920946680009365,0.2,0.06996925175189972,0.1965075358748436,0.007600821,0.0001,0.031982421875,6767,-0.006818528345320374,0.9588260650634766
29,183,287.12,1738468,28.236000000000004,162,-0.6973307020962238,0.2,0.05528871715068817,0.20198143320158124,0.006390148,0.0001,0.050537109375,6771,-0.00309424294391647,0.9740157127380371
30,182,286.48,1739492,28.237099999999995,167,-0.5722928494215012,0.2,-0.012676630169153214,0.037155143334530294,0.0069629457,0.0001,0.073486328125,6775,-0.010312095691915601,0.9953816533088684
31,182,287.61,1740516,28.374899999999997,173,-0.4505211729556322,0.2,0.03692014515399933,0.1399722616188228,0.008138221,0.0001,0.0390625,6779,-0.005828769819345325,0.9803528785705566
32,182,286.74,1741540,28.375199999999996,179,-0.4920302480459213,0.2,0.22441568970680237,0.6544189266860485,0.003490259,0.0001,0.01806640625,6783,-0.0026670362567529082,0.933364987373352
33,182,288.45,1742564,28.539099999999994,185,-0.5123650394380093,0.2,0.02159665711224079,0.0976148140616715,0.0049153194,0.0001,0.025634765625,6787,-0.007260102836880833,0.9862781763076782
