time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,time/time_elapsed,rollout/ep_len_mean,train/clip_fraction,train/approx_kl,train/explained_variance,train/clip_range,train/loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/value_loss,train/entropy_loss
2058216,52,30.3262,116,457,283.74,0.028564453125,0.004341968,0.9991158843040466,0.2,-0.014265758916735649,0.0001,8015,-0.005582854093518108,0.008006386895431206,-0.3557108361274004
2059240,53,30.467399999999994,116,464,284.01,0.037353515625,0.0067723803,0.9991124272346497,0.2,-0.013578916899859905,0.0001,8019,-0.0089410514337942,0.0074946514796465635,-0.30526117235422134
2060264,54,30.469299999999997,116,472,283.4,0.05029296875,0.0077580856,0.9994815587997437,0.2,-0.009699558839201927,0.0001,8023,-0.006908238923642784,0.0055973551934584975,-0.31321320682764053
2061288,55,30.471499999999995,117,480,282.68,0.027099609375,0.0052039186,0.9989897012710571,0.2,-0.014185421168804169,0.0001,8027,-0.008767930557951331,0.009876923228148371,-0.3348619397729635
2062312,56,30.471500000000002,117,487,282.8,0.0341796875,0.0054313783,0.9991024136543274,0.2,-0.016867153346538544,0.0001,8031,-0.007461564935510978,0.010205685917753726,-0.33682230301201344
2063336,57,30.5923,117,494,284.24,0.039306640625,0.0049713617,0.9988418817520142,0.2,-0.005794464144855738,0.0001,8035,-0.007248280511703342,0.010739261488197371,-0.32127343490719795
2064360,58,30.591799999999992,118,502,284.54,0.053466796875,0.008338582,0.9992584586143494,0.2,-0.024603458121418953,0.0001,8039,-0.009802037733606994,0.006156883857329376,-0.33294203877449036
2065384,59,30.635,118,511,284.5,0.061279296875,0.0119572645,0.9995646476745605,0.2,-0.021702606230974197,0.0001,8043,-0.012921369809191674,0.005667091259965673,-0.3871473241597414
2066408,60,30.6351,118,518,284.48,0.0419921875,0.00650916,0.9992373585700989,0.2,-0.0071092708967626095,0.0001,8047,-0.005378441186621785,0.0069248802901711315,-0.3035251758992672
2067432,61,30.633000000000003,118,525,285.79,0.045654296875,0.0050753155,0.9994227290153503,0.2,-0.01926838420331478,0.0001,8051,-0.009201461856719106,0.00500731696956791,-0.30288891308009624
2068456,62,30.6319,119,532,286.34,0.037109375,0.00746218,0.9964795112609863,0.2,-0.0026102308183908463,0.0001,8055,-0.007858533237595111,0.03878699673805386,-0.4763760082423687
2069480,63,30.632900000000003,119,539,285.97,0.02685546875,0.0044938927,0.9943339228630066,0.2,0.009539882652461529,0.0001,8059,-0.007032345456536859,0.05303467460907996,-0.37916605919599533
2070504,64,30.6356,120,545,285.29,0.016357421875,0.003505661,0.9979687929153442,0.2,-0.008801617659628391,0.0001,8063,-0.003602173994295299,0.011585213942453265,-0.2561022061854601
2071528,65,30.431600000000003,120,552,283.53,0.032958984375,0.005662646,0.996212899684906,0.2,0.0004111677408218384,0.0001,8067,-0.003422570036491379,0.03140451631043106,-0.3118584807962179
2072552,66,30.4345,120,559,283.05,0.010498046875,0.001881313,0.9242332577705383,0.2,0.3229750990867615,0.0001,8071,-0.00299999926937744,0.6779310330748558,-0.3024188745766878
2073576,67,30.4349,121,565,282.97,0.0224609375,0.0044816146,0.9952914714813232,0.2,0.00499454140663147,0.0001,8075,-0.002901401516282931,0.028309947287198156,-0.2799351140856743
2074600,68,30.231399999999997,121,573,281.13,0.02197265625,0.0028179495,0.9981837868690491,0.2,-0.005254814866930246,0.0001,8079,-0.003794002113863826,0.014165709842927754,-0.30144130624830723
2075624,69,30.228999999999996,121,580,282.41,0.010986328125,0.0025337487,0.9121342897415161,0.2,0.3001236617565155,0.0001,8083,-0.0018931939848698676,0.6880645360797644,-0.29974050633609295
2076648,70,30.2276,122,586,283.24,0.02734375,0.008302917,0.9959255456924438,0.2,-0.01755448989570141,0.0001,8087,-0.00374183600069955,0.02737391140544787,-0.34291526675224304
2077672,71,30.230999999999995,122,593,281.57,0.052001953125,0.012336056,0.9950178265571594,0.2,-0.007947806268930435,0.0001,8091,-0.009351070326374611,0.03426550899166614,-0.34880081191658974
2078696,72,30.230999999999995,122,600,281.52,0.016845703125,0.0028642423,0.9982245564460754,0.2,-0.0013016408775001764,0.0001,8095,-0.00465061265276745,0.011701650801114738,-0.2861354649066925
2079720,73,30.231799999999993,123,607,281.33,0.02978515625,0.004391041,0.9991269111633301,0.2,-0.009019925259053707,0.0001,8099,-0.0065592784085310996,0.00680357264354825,-0.2818111414089799
2080744,74,30.516099999999998,123,614,283.82,0.030029296875,0.007841361,0.9992859959602356,0.2,-0.01694391295313835,0.0001,8103,-0.008059565065195784,0.006083814354497008,-0.28612450882792473
2081768,75,30.517599999999998,123,620,283.16,0.026611328125,0.006993003,0.9988721013069153,0.2,0.0045107631012797356,0.0001,8107,-0.007088689773809165,0.007443359965691343,-0.2672296166419983
2082792,76,30.5192,123,628,282.46,0.0322265625,0.0047551515,0.9995154142379761,0.2,-0.02567276917397976,0.0001,8111,-0.008160678145941347,0.004472119646379724,-0.31268312223255634
2083816,77,30.5184,124,634,282.82,0.0166015625,0.0033544572,0.9995110630989075,0.2,-0.006055062171071768,0.0001,8115,-0.005486716108862311,0.003718086110893637,-0.2587154796347022
2084840,78,30.518599999999996,124,642,282.58,0.022705078125,0.004622523,0.9995718002319336,0.2,-0.010204616002738476,0.0001,8119,-0.005923254997469485,0.004002401459729299,-0.32428308576345444
2085864,79,30.3796,124,650,281.92,0.035888671875,0.006530404,0.9996019005775452,0.2,-0.017102379351854324,0.0001,8123,-0.009097436908632517,0.004774370885570534,-0.3155909515917301
2086888,80,30.379800000000003,124,657,281.68,0.009033203125,0.0020266278,0.9576624035835266,0.2,0.12878572940826416,0.0001,8127,-0.0006205037061590701,0.4237331263720989,-0.32648188807070255
2087912,81,30.3772,124,665,282.89,0.018798828125,0.005793355,0.9967963695526123,0.2,-0.007719275075942278,0.0001,8131,-0.005310395878041163,0.02149263391038403,-0.2961168475449085
2088936,82,30.3773,125,671,282.81,0.043701171875,0.0066304076,0.9980745315551758,0.2,-0.01539125107228756,0.0001,8135,-0.00871630260371603,0.014083960908465087,-0.4134795032441616
2089960,83,30.3771,125,678,282.98,0.041015625,0.0090483315,0.9989414215087891,0.2,-0.022926446050405502,0.0001,8139,-0.0076217082678340375,0.007751664437819272,-0.2851552125066519
2090984,84,30.375300000000003,125,686,283.96,0.058349609375,0.011404207,0.9877322912216187,0.2,0.027281973510980606,0.0001,8143,-0.008544275580788963,0.09745280561037362,-0.331826101988554
2092008,85,30.3754,125,696,283.82,0.019287109375,0.0036174655,0.9957599639892578,0.2,0.004359688609838486,0.0001,8147,-0.0056045335659291595,0.04023115639574826,-0.3691752068698406
2093032,86,30.374000000000002,125,704,284.47,0.020751953125,0.004308923,0.9918221831321716,0.2,-0.003528725355863571,0.0001,8151,-0.007301121950149536,0.06380777712911367,-0.33847117982804775
2094056,87,30.374499999999998,125,712,284.14,0.013427734375,0.002384323,0.9973433017730713,0.2,-0.008796780370175838,0.0001,8155,-0.004529942467343062,0.017084649647586048,-0.26283854991197586
2095080,88,30.376099999999997,125,720,283.3,0.033935546875,0.0053927666,0.9990807175636292,0.2,-0.0075779929757118225,0.0001,8159,-0.005326130107278004,0.008248246333096176,-0.24802312534302473
2096104,89,30.378899999999994,125,728,281.85,0.026123046875,0.0037138008,0.9992048740386963,0.2,-0.011750108562409878,0.0001,8163,-0.005786447669379413,0.0042043210414703935,-0.23854331113398075
2097128,90,30.38009999999999,125,737,281.26,0.03759765625,0.0065444577,0.9990611672401428,0.2,-0.010426484048366547,0.0001,8167,-0.006439024873543531,0.006207168858963996,-0.25993185583502054
2098152,91,30.3797,125,745,281.5,0.03466796875,0.005586626,0.9991428852081299,0.2,-0.021816285327076912,0.0001,8171,-0.010025161522207782,0.006327726150630042,-0.29230230301618576
2099176,92,30.3803,125,753,281.2,0.029541015625,0.008410452,0.9995923638343811,0.2,-0.016224678605794907,0.0001,8175,-0.006845693860668689,0.0037053817650303245,-0.2544507719576359
2100200,93,30.584599999999995,125,761,282.83,0.03662109375,0.008919026,0.9993749856948853,0.2,-0.00775662437081337,0.0001,8179,-0.008700662350747734,0.005514330870937556,-0.2814138485118747
2101224,94,30.3797,125,769,281.17,0.0302734375,0.0033546935,0.9995326995849609,0.2,-0.016518646851181984,0.0001,8183,-0.0072459212969988585,0.004471550259040669,-0.255424409173429
2102248,95,30.380499999999998,125,777,280.77,0.021240234375,0.0036525396,0.9263269901275635,0.2,0.24617694318294525,0.0001,8187,-0.0009707838762551546,0.6282937536016107,-0.2559311902150512
2103272,96,30.584699999999998,125,785,282.45,0.03759765625,0.004507741,0.9936648607254028,0.2,-0.010898260399699211,0.0001,8191,-0.0047130554739851505,0.03314756526378915,-0.25345875415951014
2104296,97,30.587699999999995,125,792,280.84,0.027587890625,0.0050961655,0.9980047345161438,0.2,-0.01158381812274456,0.0001,8195,-0.005221202460234053,0.008865320967743173,-0.2494983971118927
2105320,98,30.5891,125,799,280.16,0.02685546875,0.004443205,0.9985672831535339,0.2,-0.0066167376935482025,0.0001,8199,-0.005217435391386971,0.007706895441515371,-0.2200322300195694
2106344,99,29.975599999999996,125,807,275.42,0.05126953125,0.014777005,0.9989010691642761,0.2,-0.021541856229305267,0.0001,8203,-0.012717652309220284,0.00830011474317871,-0.2676891703158617
2107368,100,29.2836,125,814,269.14,0.03173828125,0.0035032264,0.8439254760742188,0.2,0.5207863450050354,0.0001,8207,-0.001592122804140672,1.6561151444911957,-0.29107641987502575
2108392,101,28.6725,125,820,263.17,0.010009765625,0.0015977984,0.7745665311813354,0.2,0.5947703719139099,0.0001,8211,0.00018475792603567243,1.8369774594902992,-0.23592366371303797
2109416,102,28.467599999999997,126,827,261.79,0.0078125,0.0017127295,0.8075516819953918,0.2,0.7011352181434631,0.0001,8215,-0.0007378624868579209,1.3683096393942833,-0.23538795858621597
2110440,103,28.468299999999996,126,834,261.5,0.010986328125,0.002142771,0.9212261438369751,0.2,0.18310554325580597,0.0001,8219,-0.0012455549440346658,0.535339554771781,-0.2585065672174096
2111464,104,28.469299999999993,126,841,261.02,0.014892578125,0.0031182782,0.9764596819877625,0.2,0.015749387443065643,0.0001,8223,-0.0014733387506566942,0.10438173008151352,-0.24632880464196205
2112488,105,28.606399999999997,126,848,262.59,0.00927734375,0.0018165341,0.99123615026474,0.2,0.004795859567821026,0.0001,8227,-0.0013085794416838326,0.040706885512918234,-0.25426191464066505
2113512,106,28.468299999999996,126,855,261.19,0.019287109375,0.0034241492,0.993509829044342,0.2,-0.0007477076724171638,0.0001,8231,-0.004678278986830264,0.04325018043164164,-0.2793123535811901
2114536,107,28.471699999999995,126,863,259.82,0.0205078125,0.005503752,0.9375123381614685,0.2,0.1123390644788742,0.0001,8235,-0.00175894406856969,0.38841646909713745,-0.21842094790190458
2115560,108,28.472199999999994,126,870,259.74,0.009765625,0.0019503771,0.9956347942352295,0.2,0.0017791870050132275,0.0001,8239,-0.0017996429523918778,0.0284240550827235,-0.24264624994248152
2116584,109,28.475700000000003,127,877,257.77,0.038330078125,0.00494809,0.9980040192604065,0.2,-0.01223458256572485,0.0001,8243,-0.005890591768547893,0.010522828641114756,-0.2673966744914651
2117608,110,28.4745,127,884,258.16,0.08740234375,0.019384518,0.9949256777763367,0.2,0.00271817110478878,0.0001,8247,-0.007662345946300775,0.04333683266304433,-0.3179968446493149
2118632,111,28.477099999999997,127,891,256.89,0.052734375,0.0052445675,0.9988726377487183,0.2,-0.013387966901063919,0.0001,8251,-0.007007513660937548,0.008411768299993128,-0.2456268286332488
2119656,112,28.475200000000005,127,898,257.85,0.026123046875,0.0044474215,0.9994665384292603,0.2,-0.008110612630844116,0.0001,8255,-0.005305918224621564,0.005682933900970966,-0.2760772127658129
