decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated,game_score,score_gain,coins
47,188,368,79,368,3,right+B,0.027924807742238045,0.19384372234344482,0.10306544601917267,0.6536827087402344,0.021483320742845535,1.0125751495361328,9.0,319.0,0,2,391,0,0,0,0,0,0
48,192,378,79,378,3,right+B,0.032997120171785355,0.22826434671878815,0.15611760318279266,0.5518715381622314,0.030749408528208733,1.174821376800537,10.0,329.0,0,2,391,0,0,0,0,0,0
49,196,390,79,390,3,right+B,0.037487879395484924,0.2432597279548645,0.32884275913238525,0.3379610776901245,0.05244864150881767,1.3539522886276245,12.0,341.0,0,2,391,0,0,0,0,0,0
50,200,402,97,402,2,right+A,0.025782980024814606,0.1445232331752777,0.6726553440093994,0.0730542317032814,0.08398418873548508,1.039781093597412,11.0,352.0,0,2,390,0,0,0,0,0,0
51,204,414,117,414,2,right+A,0.013790643773972988,0.07344408333301544,0.7892964482307434,0.0203273743391037,0.10314145684242249,0.7511061429977417,12.0,364.0,0,2,390,0,0,0,0,0,0
52,208,426,133,426,2,right+A,0.03154356777667999,0.1775483936071396,0.5773922801017761,0.07825327664613724,0.13526248931884766,1.2030162811279297,12.0,376.0,0,2,390,0,0,0,0,0,0
53,212,438,145,438,3,right+B,0.04891429468989372,0.29860028624534607,0.26814621686935425,0.2826381325721741,0.10170098394155502,1.4510489702224731,12.0,388.0,0,2,390,0,0,0,0,0,0
54,216,450,144,450,1,right,0.045428790152072906,0.3359195590019226,0.18424110114574432,0.3640488386154175,0.0703616663813591,1.3731495141983032,12.0,400.0,0,2,390,0,0,0,0,0,0
55,220,462,129,462,1,right,0.03637993335723877,0.34500157833099365,0.11914325505495071,0.45969122648239136,0.03978399932384491,1.2267224788665771,11.0,411.0,0,2,389,0,0,0,0,0,0
56,224,474,111,474,1,right,0.02420988865196705,0.34881463646888733,0.06623418629169464,0.5438765287399292,0.01686478592455387,1.0373477935791016,12.0,423.0,0,2,389,0,0,0,0,0,0
57,228,481,111,481,3,right+B,0.01669847033917904,0.3077266812324524,0.03637329488992691,0.6298419237136841,0.009359675459563732,0.8864345550537109,7.0,430.0,0,2,389,0,0,0,0,0,0
58,232,491,99,491,3,right+B,0.016954751685261726,0.3411395847797394,0.030445581302046776,0.6029914617538452,0.008468559943139553,0.8877529501914978,10.0,440.0,0,2,389,0,0,0,0,0,0
59,236,502,79,502,3,right+B,0.015454824082553387,0.31381362676620483,0.0273592546582222,0.6360240578651428,0.007348181679844856,0.8505147695541382,11.0,451.0,0,2,389,0,0,0,0,0,0
60,240,514,79,514,3,right+B,0.020084433257579803,0.33436766266822815,0.03645486384630203,0.5959527492523193,0.013140376657247543,0.930903971195221,11.0,462.0,0,2,388,0,0,0,0,0,0
61,244,526,79,526,3,right+B,0.02841074764728546,0.3848946988582611,0.11000529676675797,0.42612728476524353,0.05056194216012955,1.225867748260498,12.0,474.0,0,2,388,0,0,0,0,0,0
62,248,538,97,538,4,right+A+B,0.0306752510368824,0.22726359963417053,0.3677089810371399,0.11510918289422989,0.259242981672287,1.4103118181228638,12.0,486.0,0,2,388,0,0,0,0,0,0
63,252,550,117,550,2,right+A,0.023561855778098106,0.13252559304237366,0.3737819194793701,0.08680648356676102,0.38332414627075195,1.3036977052688599,12.0,498.0,0,2,388,0,0,0,0,0,0
