rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,time/fps,time/total_timesteps,train/explained_variance,train/approx_kl,train/entropy_loss,train/policy_gradient_loss,train/clip_fraction,train/clip_range,train/value_loss,train/loss,train/learning_rate,train/n_updates
289.1,651,46,29.586200000000005,72,1992340,0.9970058798789978,0.0042452156,-0.474120058119297,-0.005713778606150299,0.02392578125,0.2,0.030781314941123128,-0.009474439546465874,0.0001,7759
287.83,671,47,29.6312,71,1993364,0.9985765814781189,0.003627704,-0.48021779023110867,-0.006107252032961696,0.022216796875,0.2,0.01433359389193356,-0.018634330481290817,0.0001,7763
288.86,690,48,29.6287,71,1994388,0.9880038499832153,0.0049552037,-0.4535805694758892,-0.006808437843574211,0.028076171875,0.2,0.08967349654994905,0.009226677939295769,0.0001,7767
288.95,706,49,29.628399999999992,71,1995412,0.997702419757843,0.0065266183,-0.5140802804380655,-0.006963744992390275,0.036376953125,0.2,0.023111848859116435,-0.0067368438467383385,0.0001,7771
288.89,725,50,29.628300000000003,70,1996436,0.9987597465515137,0.0074286563,-0.48112189397215843,-0.011187435127794743,0.0458984375,0.2,0.010111901385243982,-0.02048538252711296,0.0001,7775
289.68,744,51,29.626499999999997,70,1997460,0.9988237023353577,0.0050407527,-0.4839337691664696,-0.008235088898800313,0.03515625,0.2,0.01100076490547508,-0.01652783341705799,0.0001,7779
287.62,763,52,29.42,69,1998484,0.998826265335083,0.010308381,-0.5035696346312761,-0.0101171761052683,0.054443359375,0.2,0.011193369515240192,-0.027370411902666092,0.0001,7783
287.1,787,53,29.421099999999996,68,1999508,0.9105198979377747,0.0042388914,-0.39916746504604816,-0.004640919098164886,0.017822265625,0.2,0.6993716731667519,0.45706236362457275,0.0001,7787
286.5,807,54,29.422900000000006,68,2000532,0.9968790411949158,0.009984562,-0.521677216514945,-0.010943297820631415,0.070068359375,0.2,0.02803327760193497,-0.016024300828576088,0.0001,7791
290.43,830,55,29.9021,67,2001556,0.9985025525093079,0.005368537,-0.4869744684547186,-0.008788864099187776,0.0478515625,0.2,0.011416615510825068,-0.013493004254996777,0.0001,7795
290.82,851,56,29.901300000000003,67,2002580,0.9953605532646179,0.0074230786,-0.5375435631722212,-0.009490386408288032,0.046142578125,0.2,0.04182279668748379,-0.00787540152668953,0.0001,7799
290.46,869,57,29.902199999999993,67,2003604,0.9980916976928711,0.0069764648,-0.4619071129709482,-0.008087419380899519,0.0283203125,0.2,0.01518030627630651,-0.011143311858177185,0.0001,7803
290.03,887,58,29.902799999999992,66,2004628,0.9990596175193787,0.006169541,-0.4090359676629305,-0.010002417489886284,0.05615234375,0.2,0.006618456362048164,-0.015332224778831005,0.0001,7807
