time/total_timesteps,time/fps,time/iterations,time/time_elapsed,train/value_loss,rollout/ep_len_mean,train/explained_variance,train/policy_gradient_loss,train/clip_range,train/learning_rate,rollout/ep_rew_mean,train/clip_fraction,train/loss,train/n_updates,train/approx_kl,train/entropy_loss
2309104,170,39,234,0.0021861474015167914,271.25,0.9991053938865662,-0.0035671520745381713,0.2,2.5e-05,25.444300000000002,0.005126953125,-0.00649557588621974,8995,0.0013684237,-0.17912466824054718
2310128,170,40,240,0.013521706219762564,270.13,0.9946887493133545,-0.0025452184563619085,0.2,2.5e-05,25.482825000000002,0.0078125,-0.0021221796050667763,8999,0.0018449449,-0.17779716849327087
2311152,170,41,246,0.004122276222915389,270.64,0.9984673857688904,-0.0053843548957956955,0.2,2.5e-05,25.48175,0.01513671875,-0.006504788529127836,9003,0.0031489006,-0.17799809109419584
2312176,170,42,252,0.03571833751630038,270.55,0.9898613691329956,-0.0019725696183741093,0.2,2.5e-05,25.4934,0.008544921875,0.01512424647808075,9007,0.0018022436,-0.23504459019750357
2313200,170,43,258,0.003489455979433842,270.55,0.9988133311271667,-0.0024391310871578753,0.2,2.5e-05,25.493075000000005,0.006103515625,-0.003711744211614132,9011,0.00094299176,-0.17907161824405193
2314224,170,44,264,0.0021022963119321503,270.55,0.9990782141685486,-0.002883278953959234,0.2,2.5e-05,25.492750000000004,0.0087890625,-0.010405910201370716,9015,0.0014593345,-0.18552356772124767
2315248,170,45,270,0.002460955030983314,270.43,0.9992188215255737,-0.0028343601734377444,0.2,2.5e-05,25.4925,0.010009765625,-0.002596613485366106,9019,0.0018854693,-0.18230541981756687
2316272,170,46,276,0.002436636234051548,270.43,0.9990225434303284,-0.0037185062537901103,0.2,2.5e-05,25.4925,0.00732421875,-0.004473677836358547,9023,0.0011943739,-0.17902773059904575
2317296,170,47,282,0.02680776873603463,270.21,0.990129828453064,-0.00277538996306248,0.2,2.5e-05,25.338625,0.01416015625,0.007966648787260056,9027,0.0022189985,-0.19941042829304934
2318320,170,48,288,0.5077996253967285,270.18,0.8641582727432251,-0.001107170362956822,0.2,2.5e-05,25.33995000000001,0.006591796875,0.24810925126075745,9031,0.0010403765,-0.22425362467765808
2319344,170,49,294,0.014402995904674754,270.18,0.9941279888153076,-0.00265022850362584,0.2,2.5e-05,25.33995,0.00390625,0.004093355964869261,9035,0.00065853726,-0.18213935755193233
2320368,170,50,300,0.0027736156043829396,271.29,0.9984322786331177,-0.003337826899951324,0.2,2.5e-05,25.482250000000008,0.01025390625,-0.007776566781103611,9039,0.0020441886,-0.1826287331059575
2321392,170,51,306,0.0019110827415715903,271.16,0.9990691542625427,-0.0017095886869356036,0.2,2.5e-05,25.49470000000001,0.006103515625,-0.006334185134619474,9043,0.0012732088,-0.18460206501185894
2322416,170,52,312,0.002216469307313673,270.43,0.9991256594657898,-0.004517701861914247,0.2,2.5e-05,25.508325000000003,0.008544921875,-0.013777446933090687,9047,0.0018341758,-0.1843873569741845
2323440,170,53,318,0.03348955512046814,270.69,0.9833206534385681,-0.002171582746086642,0.2,2.5e-05,25.501825000000007,0.0029296875,0.010736566968262196,9051,0.00067949505,-0.20490771066397429
2324464,170,54,324,0.033370841294527054,270.69,0.9889020919799805,-0.003157228187774308,0.2,2.5e-05,25.501175000000003,0.00732421875,0.009593216702342033,9055,0.0023266058,-0.2334213862195611
2325488,170,55,330,0.0512818192364648,270.8,0.9797108769416809,-0.0033183957129949704,0.2,2.5e-05,25.500950000000007,0.008056640625,0.015275156125426292,9059,0.0014640256,-0.20977869164198637
2326512,170,56,336,0.017474575724918395,272.29,0.9949741363525391,-0.002984801831189543,0.2,2.5e-05,25.631075,0.004150390625,-0.0007599531672894955,9063,0.0010080084,-0.23761029355227947
2327536,170,57,342,0.01589859474916011,272.29,0.9951742887496948,-0.002645569242304191,0.2,2.5e-05,25.632050000000007,0.00341796875,-0.0023964685387909412,9067,0.0008713346,-0.21574016101658344
2328560,170,58,348,0.0032405901583842933,272.29,0.9984228610992432,-0.001568038365803659,0.2,2.5e-05,25.63237500000001,0.0068359375,-0.004852102603763342,9071,0.0014660126,-0.18923406302928925
2329584,170,59,354,0.0018167049347539432,272.59,0.9991590976715088,-0.002604950190288946,0.2,2.5e-05,25.61980000000001,0.009033203125,-0.006396604236215353,9075,0.0016134098,-0.19320610258728266
2330608,170,60,360,0.09527820954099298,272.59,0.9699528813362122,-0.002942690465715714,0.2,2.5e-05,25.619800000000005,0.008544921875,0.07827077060937881,9079,0.002016603,-0.22914635296911
2331632,170,61,366,0.02533312828745693,272.31,0.9890320897102356,-0.00322811515070498,0.2,2.5e-05,25.643075000000007,0.0048828125,0.006289056036621332,9083,0.0014125052,-0.18865731079131365
2332656,170,62,373,0.006106806715251878,271.63,0.9972943067550659,-0.0035734602279262617,0.2,2.5e-05,25.666650000000008,0.004150390625,5.741766653954983e-05,9087,0.00090636086,-0.19473760854452848
2333680,170,63,379,0.005215092809521593,270.21,0.9977738857269287,-0.0030538771534338593,0.2,2.5e-05,25.504100000000008,0.009765625,-0.007157774642109871,9091,0.0020033538,-0.18491075932979584
2334704,170,64,385,0.5907013397663832,270.21,0.7675561308860779,-0.0006852826336398721,0.2,2.5e-05,25.504100000000008,0.003173828125,0.3621025085449219,9095,0.00050304877,-0.1834122845903039
2335728,170,65,391,0.006531064951559529,270.21,0.997601330280304,-0.001706896466203034,0.2,2.5e-05,25.504750000000012,0.0048828125,0.0005890203174203634,9099,0.00095259567,-0.18841121345758438
2336752,170,66,397,0.003841219368041493,270.21,0.9978176951408386,-0.0033067286130972207,0.2,2.5e-05,25.51732500000001,0.010986328125,-0.00015914393588900566,9103,0.0020158007,-0.18479397613555193
2337776,170,67,403,0.003209032496670261,270.21,0.9985912442207336,-0.002820173482177779,0.2,2.5e-05,25.51732500000001,0.0048828125,-0.00958201289176941,9107,0.0010094789,-0.1871091155335307
2338800,169,68,409,0.0016943913069553673,269.54,0.9992184042930603,-0.003120689798379317,0.2,2.5e-05,25.518300000000007,0.008544921875,-0.0037065139040350914,9111,0.0022708513,-0.18517670594155788
2339824,169,69,415,0.010545350742177106,269.54,0.9954964518547058,-0.003868622676236555,0.2,2.5e-05,25.518300000000007,0.01806640625,0.0013646460138261318,9115,0.00368885,-0.18271183874458075
2340848,169,70,421,0.002544204136938788,269.54,0.9990574717521667,-0.002350398921407759,0.2,2.5e-05,25.518950000000014,0.00830078125,-0.003672820283100009,9119,0.0012410566,-0.1803209949284792
2341872,169,71,427,0.001516731244919356,269.54,0.9992886781692505,-0.0031109392002690583,0.2,2.5e-05,25.518950000000014,0.01318359375,-0.007296869996935129,9123,0.0021430529,-0.17807688377797604
2342896,169,72,433,0.0011930238142667804,269.54,0.999391496181488,-0.00315900455461815,0.2,2.5e-05,25.51927500000001,0.007080078125,-0.007318592630326748,9127,0.0018938633,-0.17549548018723726
2343920,169,73,439,0.0010029877739725634,268.77,0.9996046423912048,-0.0029205241007730365,0.2,2.5e-05,25.509300000000007,0.0087890625,-0.005828545894473791,9131,0.0012619141,-0.1760036889463663
2344944,169,74,445,0.014780794939724728,269.82,0.9935271143913269,-0.001836653595091775,0.2,2.5e-05,25.650800000000007,0.00146484375,0.0030193296261131763,9135,0.0005725372,-0.18380629364401102
2345968,169,75,451,0.0035959026718046516,269.82,0.9984956383705139,-0.0022443297202698886,0.2,2.5e-05,25.660975000000008,0.005126953125,-0.0027681041974574327,9139,0.0020011207,-0.17935933358967304
2346992,169,76,457,0.0013270186791487504,269.82,0.9992281198501587,-0.0017194973188452423,0.2,2.5e-05,25.660975000000008,0.00341796875,-0.0032523679547011852,9143,0.00085718185,-0.17288037110120058
2348016,169,77,463,0.0010234181791020092,269.82,0.9995474219322205,-0.00266752511379309,0.2,2.5e-05,25.660650000000004,0.006103515625,-0.00752018578350544,9147,0.0012462432,-0.1735234074294567
2349040,169,78,470,0.0011656455462798476,269.82,0.999539315700531,-0.002265238406835124,0.2,2.5e-05,25.660650000000004,0.0048828125,-0.006570544093847275,9151,0.0011830772,-0.1699150027707219
2350064,169,79,476,0.0010973204407491721,269.13,0.9995488524436951,-0.00276366900652647,0.2,2.5e-05,25.67990000000001,0.00634765625,-0.003617664333432913,9155,0.0018844228,-0.1723059481009841
2351088,169,80,482,0.0012117152764403727,269.13,0.9994284510612488,-0.0038115314673632383,0.2,2.5e-05,25.68022500000001,0.00732421875,-0.00478065712377429,9159,0.0018032078,-0.17160242144018412
2352112,169,81,489,0.000939917896175757,269.13,0.9995909929275513,-0.0011432422033976763,0.2,2.5e-05,25.667975000000006,0.003662109375,-0.003689397592097521,9163,0.0008592865,-0.17435241118073463
2353136,169,82,495,0.011720873531885445,268.13,0.9949786067008972,-0.004190154286334291,0.2,2.5e-05,25.69315000000001,0.00927734375,-0.0064257485792040825,9167,0.0022090448,-0.17229915969073772
2354160,169,83,501,0.01962674013338983,266.42,0.993542492389679,-0.00283857443719171,0.2,2.5e-05,25.50107500000001,0.003662109375,-0.004527353681623936,9171,0.00079213723,-0.19658346008509398
2355184,169,84,507,0.6165840215981007,266.42,0.7937983870506287,-0.0018212084250990301,0.2,2.5e-05,25.50107500000001,0.003662109375,0.18764442205429077,9175,0.00086858124,-0.18011063802987337
2356208,169,85,513,0.014787590713240206,265.48,0.9949432611465454,-0.0014035003841854632,0.2,2.5e-05,25.51527500000001,0.001953125,-0.003398725762963295,9179,0.00049838953,-0.1788705801591277
2357232,169,86,519,0.0039778657228453085,265.31,0.9974672794342041,-0.0024428684264421463,0.2,2.5e-05,25.51525000000001,0.0048828125,-0.0008826302364468575,9183,0.0012309173,-0.17910953238606453
2358256,169,87,525,0.0017409475185559131,265.31,0.9991272687911987,-0.0033603332994971424,0.2,2.5e-05,25.51525000000001,0.008056640625,-0.014611945487558842,9187,0.0017140035,-0.17503841686993837
2359280,169,88,531,0.0011201427187188528,265.31,0.9994410872459412,-0.001574955036630854,0.2,2.5e-05,25.51557500000001,0.00390625,-0.0038696848787367344,9191,0.00073001825,-0.17403270117938519
2360304,169,89,537,0.0009833982803684194,266.72,0.9995940923690796,-0.0025117952609434724,0.2,2.5e-05,25.67910000000001,0.00634765625,-0.006464289501309395,9195,0.0014139448,-0.17265078891068697
2361328,169,90,543,0.0008260603535745759,266.72,0.9996480345726013,-0.0025206354330293834,0.2,2.5e-05,25.67910000000001,0.009521484375,-0.006219025701284409,9199,0.0019399968,-0.17976434342563152
2362352,169,91,549,0.0009041624471137766,266.72,0.9996579885482788,-0.0025012981495819986,0.2,2.5e-05,25.67910000000001,0.00537109375,-0.00606123311445117,9203,0.0014963195,-0.18353097513318062
2363376,169,92,556,0.03316105611156672,267.39,0.9849488735198975,-0.0031765371095389128,0.2,2.5e-05,25.666375000000006,0.014892578125,0.01378615852445364,9207,0.0028301682,-0.1982325902208686
2364400,169,93,562,0.014057496271561831,267.39,0.9950949549674988,-0.0027688047848641872,0.2,2.5e-05,25.666375000000006,0.004150390625,-0.005280250683426857,9211,0.0008830206,-0.19360816664993763
2365424,169,94,568,0.0019696299568749964,267.36,0.9990870952606201,-0.0016385705093853176,0.2,2.5e-05,25.67755000000001,0.005615234375,-0.0011861722450703382,9215,0.0009705846,-0.17692446615546942
2366448,169,95,574,0.0012023682975268457,267.36,0.9993810653686523,-0.0028175907937111333,0.2,2.5e-05,25.677225000000007,0.00341796875,-0.0048875040374696255,9219,0.00072138564,-0.1744932560250163
2367472,169,96,580,0.0010220928597846068,267.36,0.9995347261428833,-0.001748115406371653,0.2,2.5e-05,25.677225000000007,0.004150390625,-0.006965047679841518,9223,0.0010653744,-0.1779443547129631
2368496,169,97,586,0.0008668675909575541,267.36,0.9996515512466431,-0.0021215593442320824,0.2,2.5e-05,25.67690000000001,0.004150390625,-0.008131168782711029,9227,0.00078097626,-0.17542995046824217
2369520,169,98,592,0.001124489092035219,267.36,0.9995492100715637,-0.0019021190673811361,0.2,2.5e-05,25.676575000000007,0.002197265625,-0.0001062332303263247,9231,0.00068770564,-0.18086848221719265
2370544,169,99,598,0.0008230751882365439,267.3,0.9996790885925293,-0.0016796108684502542,0.2,2.5e-05,25.69957500000001,0.003173828125,-0.0016655783401802182,9235,0.00064210995,-0.18675643019378185
2371568,169,100,604,0.0011510802469274495,267.3,0.999595046043396,-0.002785858523566276,0.2,2.5e-05,25.69925000000001,0.006103515625,-0.006409792695194483,9239,0.0013634181,-0.18874589167535305
2372592,169,101,610,0.0009691923514765222,267.3,0.9996095895767212,-0.0034418241411913186,0.2,2.5e-05,25.699575000000014,0.00439453125,-0.006298189051449299,9243,0.0007992132,-0.18265972007066011
2373616,169,102,617,0.03065405343659222,266.24,0.9861941933631897,-0.0028245910798432305,0.2,2.5e-05,25.49527500000001,0.00537109375,0.007393610663712025,9247,0.0012057779,-0.1867323573678732
2374640,169,103,623,0.5002973256632686,266.24,0.8754023313522339,-0.0014141925785224885,0.2,2.5e-05,25.495600000000014,0.0107421875,0.17158420383930206,9251,0.0017288909,-0.22002149373292923
2375664,169,104,629,0.009587105771061033,266.24,0.99713534116745,-0.0016092545411083847,0.2,2.5e-05,25.495600000000014,0.002197265625,-0.00017833407036960125,9255,0.000486803,-0.17681569326668978
2376688,169,105,635,0.004080560494912788,267.08,0.9982368350028992,-0.0028752002981491387,0.2,2.5e-05,25.48247500000001,0.0048828125,-0.01026080921292305,9259,0.0011078576,-0.17410840839147568
2377712,169,106,641,0.03640393714886159,267.08,0.9886124730110168,-0.0033750671427696943,0.2,2.5e-05,25.48247500000001,0.00244140625,0.0036196354776620865,9263,0.0011259689,-0.2107238583266735
