time/total_timesteps,time/iterations,time/fps,rollout/ep_len_mean,time/time_elapsed,rollout/ep_rew_mean,train/explained_variance,train/value_loss,train/policy_gradient_loss,train/entropy_loss,train/learning_rate,train/clip_range,train/n_updates,train/loss,train/clip_fraction,train/approx_kl
48128,47,174,196.86,276,380.69,0.36323219537734985,1571.5637130737305,-0.003191194758983329,-0.12525683757849038,0.00025,0.2,184,698.3334350585938,0.036865234375,0.06614339
49152,48,174,204.65,282,411.49,-0.20207595825195312,4183.162658691406,0.013675639755092561,-0.3601768733933568,0.00025,0.2,188,1680.8404541015625,0.138671875,0.10605131
50176,49,174,208.22,288,435.78,0.10413825511932373,5200.080871582031,0.06457774282898754,-0.06540294955777881,0.00025,0.2,192,2287.65869140625,0.4208984375,1.7965636
51200,50,174,199.13,294,433.51,0.47557711601257324,2437.204521179199,-1.0346760973334312e-05,-0.0002868342216970632,0.00025,0.2,196,1132.3779296875,0.0,0.0
52224,51,174,157.61,299,408.07,0.6239345073699951,1556.524314880371,-0.00010787819337565452,-0.0011414023642828397,0.00025,0.2,200,687.1847534179688,0.0,4.656613e-09
53248,52,174,155.87,305,403.78,0.7613396644592285,875.7767448425293,-0.0013948688574600965,-0.007646042940905318,0.00025,0.2,204,312.62738037109375,0.0,8.630741e-06
54272,53,174,155.87,311,403.78,0.6026140451431274,1158.484619140625,0.0015961351164150983,-0.044529473525471985,0.00025,0.2,208,521.5595703125,0.005126953125,0.007090416
55296,54,174,169.95,317,405.26,0.6569076180458069,596.5680294036865,0.0014069894677959383,-0.05064324470004067,0.00025,0.2,212,177.15296936035156,0.00146484375,0.00015261624
56320,55,173,171.99,323,408.88,0.56681227684021,663.1283130645752,0.0003595311427488923,-0.030933616100810468,0.00025,0.2,216,309.9334716796875,0.00146484375,0.0006788327
57344,56,173,189.45,329,358.83,0.5081391334533691,375.39445400238037,0.001640493981540203,-0.07590381265617907,0.00025,0.2,220,119.60755920410156,0.00244140625,0.00056926406
58368,57,173,134.03,336,354.38,0.2536478042602539,1431.2470169067383,0.006345093948766589,-0.02305606275331229,0.00025,0.2,224,758.5474243164062,0.0087890625,0.0055678748
