time/total_timesteps,time/iterations,time/fps,time/time_elapsed,train/clip_fraction,rollout/ep_rew_mean,train/loss,train/n_updates,train/clip_range,train/policy_gradient_loss,rollout/ep_len_mean,train/approx_kl,train/entropy_loss,train/value_loss,train/explained_variance,train/learning_rate
2149356,29,169,175,0.015380859375,23.87644999999999,0.0039436835795640945,8371,0.2,-0.0033244998776353896,274.52,0.0028702365,-0.30348609015345573,0.0311283158371225,0.9908959269523621,2.5e-05
2150380,30,169,181,0.00146484375,23.882075,0.26372969150543213,8375,0.2,-0.0006270109297474846,275.15,0.0007249127,-0.36199215427041054,0.5152846593409777,0.8722406625747681,2.5e-05
2151404,31,168,188,0.00048828125,23.886950000000002,-0.001859460026025772,8379,0.2,-0.002284083981066942,274.61,0.000365955,-0.27803443744778633,0.011511990742292255,0.9972180128097534,2.5e-05
2152428,32,168,194,0.002197265625,23.8917,-0.004014736507087946,8383,0.2,-0.0027880617999471724,274.09,0.00090763194,-0.27837925404310226,0.006295631203101948,0.9982451796531677,2.5e-05
2153452,33,168,200,0.00537109375,23.913750000000004,0.0016187261790037155,8387,0.2,-0.0036342033999972045,273.8,0.0012203538,-0.26167615968734026,0.016340301895979792,0.9944911599159241,2.5e-05
2154476,34,167,207,0.0068359375,23.940925000000004,-0.0011306237429380417,8391,0.2,-0.005494321754667908,273.22,0.0016547323,-0.24286239594221115,0.01446934463456273,0.9954268336296082,2.5e-05
2155500,35,167,213,0.00732421875,23.976374999999997,-0.0038726599887013435,8395,0.2,-0.005040511241531931,272.81,0.0011805644,-0.24794465769082308,0.01410263346042484,0.9949995875358582,2.5e-05
2156524,36,167,219,0.00830078125,24.170749999999998,-0.002756631001830101,8399,0.2,-0.005495161982253194,274.82,0.0009919237,-0.2577190352603793,0.020573809917550534,0.9924072027206421,2.5e-05
2157548,37,167,226,0.0029296875,24.189949999999996,0.002228347584605217,8403,0.2,-0.0032548640156164765,274.42,0.00082102005,-0.3086943868547678,0.02556801598984748,0.9929916262626648,2.5e-05
2158572,38,167,232,0.000244140625,24.225450000000002,0.0012373244389891624,8407,0.2,-0.0024055256217252463,274.42,0.00039508718,-0.24411359522491693,0.013417522830422968,0.9955335855484009,2.5e-05
2159596,39,167,238,0.00341796875,24.253599999999995,-0.004299360327422619,8411,0.2,-0.004472783592063934,273.89,0.0007430814,-0.23028474114835262,0.00941331620560959,0.9960384964942932,2.5e-05
2160620,40,167,244,0.003662109375,24.031075,-0.0027892738580703735,8415,0.2,-0.00464364537037909,271.35,0.0009806238,-0.2341662524268031,0.014062099944567308,0.9950262904167175,2.5e-05
2161644,41,167,250,0.00244140625,24.268375000000002,0.6308016777038574,8419,0.2,-0.0012954145786352456,272.31,0.00049422507,-0.2661743303760886,0.7349260374903679,0.7939566373825073,2.5e-05
2162668,42,167,256,0.002685546875,24.426450000000003,-0.0019225114956498146,8423,0.2,-0.003415629093069583,273.26,0.00061360287,-0.24040624406188726,0.02039966598385945,0.9932448863983154,2.5e-05
