time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/approx_kl,train/clip_fraction,train/loss,train/value_loss,train/entropy_loss,train/learning_rate,train/n_updates,train/policy_gradient_loss,train/clip_range,train/explained_variance
1077284,165.81,189,86,13.834000000000003,16,0.01323029,0.09716796875,0.46724700927734375,0.9819088838994503,-0.7047232016921043,0.0001,4196,-0.00688627376803197,0.2,0.7155064940452576
1078308,167.24,189,91,13.9269,17,0.004106173,0.03125,0.24243511259555817,0.5896229855716228,-0.7108400240540504,0.0001,4200,-0.006582218135008588,0.2,0.7965462803840637
1079332,169.34,188,97,14.1994,18,0.004009787,0.023681640625,0.1570601761341095,0.48507409915328026,-0.6651881337165833,0.0001,4204,-0.006489083374617621,0.2,0.8213603496551514
1080356,174.75,188,103,14.5539,19,0.0051949844,0.0380859375,0.17028728127479553,0.3977982606738806,-0.652475368231535,0.0001,4208,-0.004137631491175853,0.2,0.8785753846168518
1081380,177.59,188,108,14.799700000000003,20,0.0053278944,0.03125,0.20680619776248932,0.49449788965284824,-0.6654047295451164,0.0001,4212,-0.0059350208030082285,0.2,0.820181667804718
1082404,180.62,187,114,15.062100000000001,21,0.008486585,0.05322265625,0.14264798164367676,0.44956420361995697,-0.7213966809213161,0.0001,4216,-0.0058797830424737185,0.2,0.8231152892112732
1083428,180.67,187,120,15.1434,22,0.013621477,0.100341796875,0.2627963423728943,0.9688015319406986,-0.7045275494456291,0.0001,4220,-0.006344612396787852,0.2,0.7547990679740906
1084452,181.49,187,125,15.2759,23,0.005553467,0.04931640625,0.26835647225379944,0.6646159179508686,-0.6640419587492943,0.0001,4224,-0.004555528692435473,0.2,0.7479753494262695
1085476,180.92,187,131,15.343899999999998,24,0.0038202843,0.024658203125,0.4919581115245819,0.988949429243803,-0.7014745622873306,0.0001,4228,-0.0029346980445552617,0.2,0.6902079582214355
1086500,182.7,187,136,15.517500000000002,25,0.012086617,0.08349609375,0.3076987564563751,0.7189950365573168,-0.6823620013892651,0.0001,4232,-0.007613729685544968,0.2,0.6738351583480835
1087524,179.4,187,142,15.337200000000001,26,0.011192009,0.0673828125,0.2902870774269104,0.5925859734416008,-0.7745921537280083,0.0001,4236,-0.0076955524273216724,0.2,0.849937915802002
1088548,179.65,187,147,15.4524,27,0.006851526,0.039794921875,0.16009528934955597,0.43339324556291103,-0.6394871510565281,0.0001,4240,-0.0034831949742510915,0.2,0.8642292618751526
1089572,179.14,187,153,15.5324,28,0.0037328382,0.0302734375,0.3538731634616852,1.0116005800664425,-0.6980737559497356,0.0001,4244,4.6089524403214455e-05,0.2,0.7392523288726807
1090596,179.89,186,158,15.603500000000002,29,0.006855772,0.06396484375,0.23826046288013458,0.6481897979974747,-0.6444410383701324,0.0001,4248,-0.006416172604076564,0.2,0.7896851897239685
1091620,179.82,186,164,15.592899999999997,30,0.01643113,0.102294921875,0.14717182517051697,0.3824063129723072,-0.648427601903677,0.0001,4252,-0.007162434398196638,0.2,0.8626397252082825
1092644,179.42,186,169,15.488800000000001,31,0.0041805347,0.0234375,0.2869666516780853,0.8117726147174835,-0.6700996048748493,0.0001,4256,-0.00339082203572616,0.2,0.7491830587387085
1093668,180.65,186,175,15.559900000000003,32,0.0042666337,0.028564453125,0.34444668889045715,0.7156859152019024,-0.6542821675539017,0.0001,4260,-0.0030645589577034116,0.2,0.7864274978637695
1094692,182.6,186,181,15.815999999999999,33,0.0032230967,0.00830078125,0.2686763405799866,0.5678019300103188,-0.7063701078295708,0.0001,4264,-0.0038446060207206756,0.2,0.756766676902771
1095716,184.9,186,186,16.000500000000002,34,0.0054253475,0.039794921875,0.2033226042985916,0.4825779180973768,-0.6355429291725159,0.0001,4268,-0.006186068203533068,0.2,0.8473559617996216
1096740,184.06,186,192,15.7726,35,0.008972116,0.058349609375,0.13854631781578064,0.6120050549507141,-0.6733788140118122,0.0001,4272,-0.006422846432542428,0.2,0.7224725484848022
1097764,183.64,186,197,15.7226,36,0.004070962,0.022705078125,0.6109217405319214,1.15364133939147,-0.7008371315896511,0.0001,4276,-5.377230991143733e-05,0.2,0.6612915396690369
1098788,177.67,186,203,15.238700000000001,37,0.0039569577,0.01708984375,0.22093330323696136,0.6202411111444235,-0.6529247537255287,0.0001,4280,-0.004307913623051718,0.2,0.7035404443740845
1099812,175.67,186,209,15.2425,38,0.005851557,0.056884765625,0.4298095107078552,0.9330696687102318,-0.6474853046238422,0.0001,4284,-0.004650209244573489,0.2,0.7450892925262451
1100836,175.56,185,214,15.2241,39,0.00656268,0.044921875,0.14969788491725922,0.34604666009545326,-0.6981330029666424,0.0001,4288,-0.005237863108050078,0.2,0.886986494064331
1101860,180.41,186,220,15.4087,40,0.005604584,0.031005859375,0.2824579179286957,0.678243599832058,-0.6475091390311718,0.0001,4292,-0.006597223749849945,0.2,0.8139360547065735
1102884,180.91,186,225,15.3662,41,0.009136174,0.0419921875,0.28578463196754456,0.7678270079195499,-0.6705706231296062,0.0001,4296,-0.004925590910715982,0.2,0.7967150211334229
1103908,186.59,186,231,15.6285,42,0.010711065,0.067626953125,0.2689991593360901,0.6585781909525394,-0.6694998368620872,0.0001,4300,-0.0005246166110737249,0.2,0.6800862550735474
1104932,191.41,186,236,15.7598,43,0.005458415,0.060302734375,0.09310156106948853,0.4204854117706418,-0.6329616419970989,0.0001,4304,-0.007075556583004072,0.2,0.8879631161689758
1105956,186.11,185,242,15.5263,44,0.007959746,0.048583984375,0.4115142524242401,1.1093669645488262,-0.6393140181899071,0.0001,4308,-0.002245909272460267,0.2,0.771780788898468
1106980,188.06,185,247,15.786899999999997,45,0.0068238685,0.037841796875,0.5562193393707275,1.1103092208504677,-0.686755109578371,0.0001,4312,-0.0060151066281832755,0.2,0.6104931831359863
1108004,187.17,185,253,15.747,46,0.003508965,0.016357421875,0.22343754768371582,0.7901794798672199,-0.6601188443601131,0.0001,4316,-0.002663598977960646,0.2,0.7534041404724121
1109028,184.92,185,259,15.537699999999997,47,0.0023422302,0.010009765625,0.41480541229248047,0.851404819637537,-0.6215350069105625,0.0001,4320,-0.0013069743290543556,0.2,0.7563470005989075
1110052,187.59,185,264,15.714500000000001,48,0.006034787,0.083251953125,0.33730241656303406,0.6657197698950768,-0.7079865410923958,0.0001,4324,-0.003919104143278673,0.2,0.7694017887115479
1111076,185.12,185,269,15.603399999999999,49,0.0054925233,0.049072265625,0.15813060104846954,0.534937584772706,-0.6742333099246025,0.0001,4328,-0.0020465319394133985,0.2,0.8467196226119995
1112100,184.63,185,275,15.623399999999998,50,0.003800351,0.044189453125,0.2994746267795563,0.7101238742470741,-0.635807391256094,0.0001,4332,-0.0018819446049747057,0.2,0.7646613121032715
1113124,189.34,185,281,15.892099999999997,51,0.0049988115,0.031982421875,0.30996304750442505,0.6726653259247541,-0.645656518638134,0.0001,4336,-0.005164341477211565,0.2,0.8634103536605835
