rollout/ep_len_mean,time/iterations,time/total_timesteps,time/time_elapsed,rollout/ep_rew_mean,time/fps,train/value_loss,train/clip_fraction,train/entropy_loss,train/clip_range,train/loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance,train/learning_rate,train/n_updates
162.36986301369862,12,12288,72,6.91904109589041,170,0.81702496483922,0.06005859375,-1.491352915763855,0.2,0.43182194232940674,-0.0028433282277546823,0.012525804,0.14562535285949707,0.00025,44
159.625,13,13312,79,6.9087499999999995,167,0.5919026546180248,0.188720703125,-1.4900076165795326,0.2,0.2995215356349945,-0.006258061737753451,0.013373911,0.18626290559768677,0.00025,48
153.5326086956522,14,14336,86,6.778695652173913,165,0.5126576796174049,0.02294921875,-1.4656294137239456,0.2,0.20815390348434448,-0.003291519999038428,0.007958118,0.36553776264190674,0.00025,52
148.16,15,15360,92,6.6991999999999985,165,0.6225076764822006,0.000244140625,-1.4187908619642258,0.2,0.2585088610649109,-0.0006357474776450545,0.0031651922,0.36387091875076294,0.00025,56
151.24,16,16384,98,6.996200000000001,165,0.45527791790664196,0.001953125,-1.3925522565841675,0.2,0.17451070249080658,-0.0016418245795648545,0.009125384,0.4816517233848572,0.00025,60
132.75,17,17408,104,6.950399999999999,166,0.6912597268819809,0.000732421875,-1.380284883081913,0.2,0.26643356680870056,-0.0008762366778682917,0.00072854664,0.18846875429153442,0.00025,64
132.07,18,18432,110,7.0114,166,0.6980108991265297,0.017578125,-1.4146780893206596,0.2,0.31895723938941956,0.0003055239503737539,0.0055277664,0.24769151210784912,0.00025,68
128.28,19,19456,116,7.0607,166,0.49988216161727905,0.006103515625,-1.4764658957719803,0.2,0.17972999811172485,-0.0028282259590923786,0.005679476,0.28184837102890015,0.00025,72
131.66,20,20480,122,7.2409,167,0.42222841642796993,0.065673828125,-1.4904436022043228,0.2,0.15968957543373108,-0.0042286732932552695,0.0084612295,0.42193758487701416,0.00025,76
126.9,21,21504,128,7.151700000000001,167,0.5241664983332157,0.081787109375,-1.487907737493515,0.2,0.19488777220249176,-0.005872881738469005,0.012350668,0.38279956579208374,0.00025,80
115.06,22,22528,134,6.5171,167,0.5078917611390352,0.001708984375,-1.5127164348959923,0.2,0.28447508811950684,-0.0018508477078285068,0.005562865,0.5735410451889038,0.00025,84
115.85,23,23552,140,6.477799999999999,167,0.7171847335994244,0.031982421875,-1.541349783539772,0.2,0.3208746612071991,-0.0017582690343260765,0.0027117736,0.4796854853630066,0.00025,88
119.76,24,24576,146,6.656399999999999,167,0.5218741614371538,0.0009765625,-1.5226848274469376,0.2,0.27189818024635315,-0.001542483747471124,0.004623741,0.42887890338897705,0.00025,92
122.3,25,25600,152,6.650499999999999,167,0.432499872520566,0.054443359375,-1.4701337665319443,0.2,0.18701836466789246,-0.0025217023212462664,0.011897869,0.5654444694519043,0.00025,96
121.15,26,26624,158,6.683299999999999,167,0.5332333035767078,0.025634765625,-1.4932286813855171,0.2,0.24036157131195068,0.0010471513742231764,0.0060600503,0.47889286279678345,0.00025,100
125.47,27,27648,164,6.8976,167,0.670920304954052,0.0,-1.4803044274449348,0.2,0.27958837151527405,-0.002937638171715662,0.0031053838,0.5350237488746643,0.00025,104
131.52,28,28672,170,7.037100000000001,168,0.512203449383378,0.0,-1.5177296996116638,0.2,0.1656474471092224,-0.001616826411918737,0.002675495,0.444144070148468,0.00025,108
130.84,29,29696,176,6.813699999999999,168,0.4205706687644124,0.0068359375,-1.523677997291088,0.2,0.1919805109500885,-0.0034683824924286455,0.008362224,0.34902632236480713,0.00025,112
133.61,30,30720,182,6.8933,168,0.4043467938899994,0.110107421875,-1.5405579209327698,0.2,0.1343226581811905,-0.0033714318997226655,0.009983597,0.5496059656143188,0.00025,116
137.98,31,31744,188,7.0296,168,0.34412348456680775,0.0673828125,-1.4952524304389954,0.2,0.11402915418148041,-0.00428135454421863,0.008453133,0.5542243719100952,0.00025,120
138.67,32,32768,194,7.0349,168,0.6747282259166241,0.04296875,-1.5321363136172295,0.2,0.33563780784606934,0.00013131715240888298,0.005700507,0.4921714663505554,0.00025,124
140.29,33,33792,200,7.046800000000002,168,0.2915966371074319,0.033203125,-1.507162518799305,0.2,0.13212597370147705,-0.001984907910809852,0.0077970126,0.6654672622680664,0.00025,128
