decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated,game_score,score_gain,coins
94,376,968,116,968,3,right+B,2.243474227725528e-06,8.751010318519548e-05,0.00027264372329227626,0.9896488189697266,0.009988732635974884,0.05939296633005142,12.0,912.0,0,2,382,0,0,0,200,200,0
95,380,980,96,980,3,right+B,5.892875378776807e-06,0.00010411259427201003,0.0014990234049037099,0.8579290509223938,0.14046195149421692,0.4179390072822571,11.0,923.0,0,2,381,0,0,0,200,200,0
96,384,992,79,992,3,right+B,3.486022478682571e-06,7.385884237010032e-05,0.0027173301205039024,0.9513648152351379,0.0458405427634716,0.20554094016551971,12.0,935.0,0,2,381,0,0,0,200,200,0
97,388,1004,97,1004,4,right+A+B,8.822863492241595e-06,0.00015465650358237326,0.4932933449745178,0.1261337846517563,0.3804093897342682,0.9788635969161987,12.0,947.0,0,2,381,0,0,0,200,200,0
98,392,1016,117,1016,2,right+A,4.0183209648603224e-07,4.894177891401341e-06,0.734179675579071,7.544497930211946e-05,0.2657395005226135,0.57981276512146,12.0,959.0,0,2,381,0,0,0,200,200,0
99,396,1028,129,1028,4,right+A+B,2.4689560973456537e-07,2.825271621986758e-06,0.2146807163953781,8.855228770698886e-06,0.7853072881698608,0.5202444791793823,12.0,971.0,0,2,381,0,0,0,200,200,0
100,400,1040,121,1040,4,right+A+B,4.750464768221718e-07,7.299059234355809e-06,0.034107789397239685,8.050514588830993e-05,0.9658039212226868,0.14968061447143555,11.0,982.0,0,2,380,0,0,0,200,200,0
101,404,1052,101,1052,3,right+B,4.220054051984334e-06,0.00018822883430402726,0.0004114594485145062,0.9775490164756775,0.021847059950232506,0.1106080412864685,12.0,994.0,0,2,380,0,0,0,200,200,0
102,408,1064,81,1064,3,right+B,4.205422214909049e-07,2.2930564227863215e-05,5.3545140872302e-06,0.999526858329773,0.00044453947339206934,0.004220096860080957,12.0,1006.0,0,2,380,0,0,0,200,200,0
103,412,1076,97,1076,4,right+A+B,1.881809475889895e-05,0.0002584717294666916,0.018035022541880608,0.07329978048801422,0.9083878993988037,0.35358649492263794,12.0,1018.0,0,2,380,0,0,0,200,200,0
104,416,1088,117,1088,4,right+A+B,4.134709797654068e-06,3.0384673664229922e-05,0.01626145839691162,0.0014302687486633658,0.9822737574577332,0.09428383409976959,12.0,1030.0,0,2,380,0,0,0,200,200,0
105,420,1100,133,1100,4,right+A+B,1.3466619748214725e-06,8.224418706959113e-06,0.03811611980199814,8.484426507493481e-05,0.9617894291877747,0.162911057472229,11.0,1041.0,0,2,379,0,0,0,200,200,0
106,424,1112,147,1112,4,right+A+B,1.0778950354506378e-06,6.641843356192112e-06,0.11030832678079605,3.6540346627589315e-05,0.8896474838256836,0.3476658761501312,12.0,1053.0,0,2,379,0,0,0,200,200,0
107,428,1124,156,1124,4,right+A+B,3.832079983112635e-06,4.072878437000327e-05,0.2848644554615021,0.002107139676809311,0.7129837870597839,0.6123605966567993,12.0,1065.0,0,2,379,0,0,0,200,200,0
108,432,1136,162,1136,4,right+A+B,2.747034386629821e-06,3.110063698841259e-05,0.12448987364768982,0.003982379101216793,0.8714939951896667,0.4016135632991791,12.0,1077.0,0,2,379,0,0,0,200,200,0
109,436,1148,165,1148,4,right+A+B,1.6809775615911349e-06,3.206091787433252e-05,0.0217127725481987,0.009550642222166061,0.9687027335166931,0.1587345451116562,12.0,1089.0,0,2,379,0,0,0,200,200,0
110,440,1160,162,1160,4,right+A+B,7.035509952402208e-07,2.033069176832214e-05,0.018707098439335823,0.002033840399235487,0.979237973690033,0.1078125387430191,11.0,1100.0,0,2,378,0,0,0,200,200,0
111,444,1172,147,1172,4,right+A+B,2.3594384401803836e-06,0.00011809400166384876,0.03866540268063545,0.04842972755432129,0.9127843976020813,0.35679444670677185,12.0,1112.0,0,2,378,0,0,0,200,200,0
