time/time_elapsed,time/total_timesteps,time/iterations,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,train/explained_variance,train/approx_kl,train/n_updates,train/clip_fraction,train/clip_range,train/learning_rate,train/policy_gradient_loss,train/value_loss,train/loss,train/entropy_loss
308,2160620,40,30.319999999999997,132,279.55,0.9990429878234863,0.00602418,8415,0.031982421875,0.2,0.0001,-0.006637299491558224,0.005960244277957827,-0.011159340851008892,-0.24404371995478868
317,2161644,41,30.3222,132,278.49,0.9994813203811646,0.006015871,8419,0.040771484375,0.2,0.0001,-0.004710373847046867,0.003358029149239883,-0.011764789000153542,-0.25213942117989063
324,2162668,42,30.319899999999997,132,279.42,0.9984045028686523,0.0098120775,8423,0.05322265625,0.2,0.0001,-0.006533345891511999,0.013553654425777495,-0.00581341190263629,-0.2912465091794729
331,2163692,43,30.3193,133,278.98,0.9987258911132812,0.0037594861,8427,0.029541015625,0.2,0.0001,-0.0067247984115965664,0.011482736648758873,-0.015166614204645157,-0.31256867572665215
337,2164716,44,30.317399999999992,133,279.64,0.9920932650566101,0.006652704,8431,0.0341796875,0.2,0.0001,-0.007541334722191095,0.05900080734863877,0.00048276595771312714,-0.305684020742774
345,2165740,45,30.111699999999992,133,278.3,0.9976304173469543,0.0062268255,8435,0.037353515625,0.2,0.0001,-0.007026242412393913,0.01790933945449069,-0.0005221627652645111,-0.2842130120843649
352,2166764,46,30.11359999999999,133,277.44,0.9390445947647095,0.0050059827,8439,0.023681640625,0.2,0.0001,-0.0024629092949908227,0.6425360757857561,0.28965166211128235,-0.32298944517970085
358,2167788,47,30.111599999999996,134,278.74,0.9956920742988586,0.0031040292,8443,0.0185546875,0.2,0.0001,-0.005228629190241918,0.02777763456106186,-0.007296917028725147,-0.3138180859386921
365,2168812,48,30.1134,134,277.85,0.9864310622215271,0.0032037408,8447,0.01708984375,0.2,0.0001,-0.004692343936767429,0.10945710306987166,0.046126838773489,-0.27152181789278984
371,2169836,49,30.318099999999994,134,279.26,0.9982597827911377,0.0038327705,8451,0.0341796875,0.2,0.0001,-0.0047740485752001405,0.010528287588385865,-0.009222536347806454,-0.2527916179969907
378,2170860,50,30.319699999999994,135,278.53,0.9992467164993286,0.003364473,8455,0.024658203125,0.2,0.0001,-0.005381124734412879,0.003979206332587637,-0.004224051721394062,-0.23448993172496557
384,2171884,51,30.318399999999993,135,279.19,0.9996516108512878,0.0058555403,8459,0.032958984375,0.2,0.0001,-0.0072449143044650555,0.002167688013287261,-0.01924261637032032,-0.23502961173653603
391,2172908,52,30.316999999999993,136,279.44,0.9935789108276367,0.005716173,8463,0.028076171875,0.2,0.0001,-0.005922483833273873,0.0495558800175786,0.009307708591222763,-0.28899057768285275
397,2173932,53,30.3177,136,279.33,0.997958779335022,0.0041549914,8467,0.026123046875,0.2,0.0001,-0.004870996519457549,0.015306722139939666,-0.008326789364218712,-0.2777643883600831
404,2174956,54,30.4395,136,280.0,0.9992842078208923,0.004483465,8471,0.027099609375,0.2,0.0001,-0.0059868899115826935,0.0059393248811829835,-0.008956382051110268,-0.2683376604691148
