time/iterations,time/time_elapsed,time/total_timesteps,time/fps,rollout/ep_len_mean,train/learning_rate,train/loss,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/clip_range,train/approx_kl,train/clip_fraction,rollout/ep_rew_mean,train/entropy_loss,train/n_updates
13,77,2434036,171,273.4255319148936,2.5e-05,0.010358711704611778,-0.0011744569055736065,0.025292907026596367,0.8539903163909912,0.2,0.000925234,0.003662109375,19.742021276595743,-0.21191932540386915,9483
14,83,2435060,171,270.94117647058823,2.5e-05,0.288483589887619,-0.0018335244676563889,0.4958413429558277,0.3659513592720032,0.2,0.00040548854,0.001708984375,19.348529411764705,-0.2456945227459073,9487
15,90,2436084,170,270.72727272727275,2.5e-05,0.23958200216293335,-0.003991410863818601,0.8464335240423679,0.36406606435775757,0.2,0.0016235575,0.007080078125,19.459909090909097,-0.2150536673143506,9491
16,96,2437108,170,271.5344827586207,2.5e-05,0.010172800160944462,-0.0009692319144960493,0.0414122820366174,0.722910463809967,0.2,0.000218386,0.0009765625,19.491120689655176,-0.20601097028702497,9495
17,102,2438132,169,269.63492063492066,2.5e-05,0.011887635104358196,-0.0036464868462644517,0.058944927994161844,0.8639929294586182,0.2,0.0013478776,0.004150390625,19.3670634920635,-0.25365449022501707,9499
18,109,2439156,168,269.53731343283584,2.5e-05,0.4450574517250061,-0.0011661472235573456,0.4935655193403363,0.28378158807754517,0.2,0.0017657637,0.010009765625,19.457388059701497,-0.22166001331061125,9503
19,115,2440180,168,269.4927536231884,2.5e-05,-0.0013774503022432327,-0.0028155193431302905,0.021694650291465223,0.8069514036178589,0.2,0.00082801044,0.0029296875,19.498623188405805,-0.21650424879044294,9507
20,122,2441204,167,270.75342465753425,2.5e-05,0.01746177487075329,-0.004821362323127687,0.05300184525549412,0.7973800897598267,0.2,0.0033564877,0.018798828125,19.50404109589041,-0.25697286892682314,9511
21,128,2442228,167,270.64473684210526,2.5e-05,0.019834186881780624,-0.003451841213973239,0.054287048522382975,0.8514161705970764,0.2,0.0007389909,0.0029296875,19.5583552631579,-0.270734628662467,9515
22,134,2443252,167,271.475,2.5e-05,0.00964592956006527,-0.012872899242211133,0.049053083173930645,0.8759178519248962,0.2,0.020035524,0.039794921875,19.624249999999996,-0.27869702130556107,9519
23,141,2444276,167,269.24418604651163,2.5e-05,0.004349896684288979,-0.002186189085477963,0.01947429298888892,0.8231086134910583,0.2,0.00065268006,0.0029296875,19.33476744186047,-0.21593730710446835,9523
24,147,2445300,166,267.2888888888889,2.5e-05,0.3889313042163849,-0.0010742188023868948,0.9274719804525375,0.3180118203163147,0.2,0.0014355727,0.00634765625,19.203388888888888,-0.28011168353259563,9527
25,153,2446324,166,267.78723404255317,2.5e-05,0.36387884616851807,-0.0016981269291136414,0.4862543996423483,0.15506935119628906,0.2,0.0018515568,0.0087890625,19.233829787234047,-0.22875669319182634,9531
26,159,2447348,166,267.7755102040816,2.5e-05,0.025493454188108444,-0.004693231399869546,0.07502511632628739,0.7575992941856384,0.2,0.0034159045,0.013916015625,19.12331632653061,-0.24727559555321932,9535
27,165,2448372,167,265.68,2.5e-05,0.13779017329216003,-0.000525349925737828,0.4836935605853796,0.4635421633720398,0.2,0.0006193403,0.002685546875,18.87995,-0.29283517226576805,9539
28,171,2449396,167,265.56,2.5e-05,0.49007895588874817,-0.0012190218549221754,0.8051888458430767,0.23160672187805176,0.2,0.00044631172,0.00146484375,18.905600000000003,-0.21634734142571688,9543
29,177,2450420,167,266.28,2.5e-05,0.018685486167669296,-0.0035047024430241436,0.06671818695031106,0.666938066482544,0.2,0.0012095043,0.004150390625,18.954900000000002,-0.23834515642374754,9547
30,183,2451444,167,266.22,2.5e-05,0.24216194450855255,-0.001638034824281931,0.43734568264335394,0.27933698892593384,0.2,0.0010969345,0.00439453125,18.97945,-0.22416134178638458,9551
31,190,2452468,167,265.64,2.5e-05,0.009747869335114956,-0.0037908595404587686,0.05165393790230155,0.6450759172439575,0.2,0.0020320155,0.01025390625,18.752349999999996,-0.22185761015862226,9555
