time/total_timesteps,rollout/ep_len_mean,time/fps,time/time_elapsed,rollout/ep_rew_mean,time/iterations,train/learning_rate,train/clip_fraction,train/n_updates,train/entropy_loss,train/approx_kl,train/explained_variance,train/clip_range,train/loss,train/value_loss,train/policy_gradient_loss
910368,145.59,187,71,10.89,13,0.0001,0.087890625,3544,-1.0287565737962723,0.009069737,0.6870457530021667,0.2,0.22175970673561096,0.42432066798210144,-0.007196227525128052
911392,146.71,186,76,10.981799999999998,14,0.0001,0.025390625,3548,-0.9980263374745846,0.0051477496,0.6197174191474915,0.2,0.2558531165122986,0.6637793146073818,-0.003970271645812318
912416,149.74,186,82,11.2602,15,0.0001,0.046875,3552,-0.9880649782717228,0.0072515127,0.6580847501754761,0.2,0.1498548984527588,0.4800235368311405,-0.005033096647821367
913440,149.97,186,87,11.319799999999997,16,0.0001,0.014404296875,3556,-0.9574408605694771,0.0034931274,0.6768069863319397,0.2,0.21574746072292328,0.5904191303998232,-0.0035693924291990697
914464,151.91,186,93,11.496500000000001,17,0.0001,0.04833984375,3560,-0.9479724206030369,0.010584134,0.6084045171737671,0.2,0.3692820370197296,0.733492624014616,-0.0054128025367390364
915488,151.22,186,99,11.555300000000003,18,0.0001,0.018310546875,3564,-0.941931813955307,0.0054445397,0.6252174377441406,0.2,0.2833477854728699,0.6640460640192032,-0.003480917672277428
916512,149.86,186,104,11.553700000000001,19,0.0001,0.001220703125,3568,-0.9212430454790592,0.0012469867,0.49538516998291016,0.2,0.662409245967865,1.2435444444417953,-0.0012708044378086925
917536,151.72,185,110,11.661299999999999,20,0.0001,0.0283203125,3572,-0.9361562766134739,0.006255009,0.5669770240783691,0.2,0.4045964181423187,0.7991473227739334,-0.0036860214022453874
918560,147.87,185,115,11.5484,21,0.0001,0.034423828125,3576,-0.9265620894730091,0.0066558486,0.6694778203964233,0.2,0.16120636463165283,0.4818829149007797,-0.0041093629552051425
919584,152.84,185,121,11.990900000000002,22,0.0001,0.01513671875,3580,-0.9406369887292385,0.0032636416,0.5697958469390869,0.2,0.25289851427078247,0.6567171346396208,-0.005586179409874603
920608,158.91,185,126,12.257100000000003,23,0.0001,0.056640625,3584,-0.9762954190373421,0.007999128,0.6054539680480957,0.2,0.19959044456481934,0.48329560458660126,-0.0059140749508515
921632,159.67,185,132,12.2948,24,0.0001,0.1025390625,3588,-0.971313126385212,0.013081305,0.5473535060882568,0.2,0.27873480319976807,0.6920899488031864,-2.734034205786884e-05
922656,161.13,185,138,12.3764,25,0.0001,0.082275390625,3592,-0.9179727248847485,0.005900766,0.5522019267082214,0.2,0.1921432614326477,0.6702676713466644,-0.0006156837916933
923680,160.93,185,143,12.429400000000001,26,0.0001,0.029296875,3596,-0.8725292086601257,0.005651677,0.5755376815795898,0.2,0.4505300223827362,0.843086339533329,-0.007042565426672809
924704,163.51,185,149,12.6043,27,0.0001,0.042236328125,3600,-0.9112093560397625,0.0060444362,0.5614483952522278,0.2,0.3370796740055084,0.8334941044449806,-0.0024514356337022036
925728,158.85,185,154,12.298,28,0.0001,0.02734375,3604,-0.9143054075539112,0.005453062,0.4593733549118042,0.2,0.33335503935813904,0.7927315458655357,-0.002208750869613141
926752,160.16,185,160,12.4895,29,0.0001,0.046630859375,3608,-0.8766942769289017,0.00537003,0.5486868023872375,0.2,0.35799968242645264,0.8155016303062439,-0.0034404710022499785
927776,156.33,184,166,12.312699999999998,30,0.0001,0.059326171875,3612,-0.8889179676771164,0.007681344,0.6233234405517578,0.2,0.22266973555088043,0.5807294957339764,-0.0027034757658839226
928800,156.57,184,171,12.109099999999998,31,0.0001,0.024658203125,3616,-0.8724995851516724,0.0060204463,0.489663302898407,0.2,0.43742868304252625,0.9448532052338123,-0.0024939975701272488
929824,156.21,184,177,12.119699999999996,32,0.0001,0.0234375,3620,-0.9107239916920662,0.004823794,0.6559208631515503,0.2,0.27111589908599854,0.6632644608616829,-0.0019508560944814235
930848,160.72,184,182,12.521099999999999,33,0.0001,0.01123046875,3624,-0.8558369539678097,0.0033148183,0.5858187675476074,0.2,0.2847016453742981,0.6562472358345985,-0.0004141984973102808
931872,160.87,184,188,12.496099999999998,34,0.0001,0.005615234375,3628,-0.8810003139078617,0.002086898,0.6165775060653687,0.2,0.16038960218429565,0.590796384960413,-0.004438678981387056
932896,169.05,184,194,13.037799999999999,35,0.0001,0.044921875,3632,-0.8858883231878281,0.0076550217,0.4431917071342468,0.2,0.45459723472595215,1.0794524140655994,-0.0036037691170349717
933920,164.6,184,199,12.713600000000001,36,0.0001,0.072021484375,3636,-0.9313752129673958,0.0067262882,0.7095324993133545,0.2,0.14326722919940948,0.4151211939752102,-0.006881688925204799
934944,163.97,184,205,12.732100000000003,37,0.0001,0.02294921875,3640,-0.9010958969593048,0.003838101,0.47791117429733276,0.2,0.6509009599685669,1.1787535846233368,-0.0016711667267372832
935968,157.38,184,211,12.390200000000002,38,0.0001,0.021484375,3644,-0.8553477711975574,0.005138537,0.5691143274307251,0.2,0.323635458946228,0.655848041176796,-0.001541961421025917
936992,155.42,184,216,12.341199999999999,39,0.0001,0.0361328125,3648,-0.9284251779317856,0.0070962356,0.5951842665672302,0.2,0.2183786928653717,0.6322021186351776,-0.004797574627446011
938016,153.77,184,222,12.392100000000001,40,0.0001,0.037353515625,3652,-0.9434018358588219,0.007600913,0.48017072677612305,0.2,0.4002133905887604,0.9723251648247242,-0.0022976084146648645
939040,158.62,184,228,12.6594,41,0.0001,0.029296875,3656,-0.8965943120419979,0.0070642075,0.700986385345459,0.2,0.20716476440429688,0.5185302812606096,-0.0061881319707026705
940064,158.38,184,233,12.551499999999999,42,0.0001,0.06103515625,3660,-0.8996450640261173,0.007572561,0.5983996391296387,0.2,0.27074116468429565,0.7280456982553005,-0.004384083018521778
941088,157.88,184,239,12.465,43,0.0001,0.09716796875,3664,-0.9419686570763588,0.00867299,0.4990483522415161,0.2,0.269952654838562,0.6897942088544369,-0.003329887113068253
942112,156.06,184,244,12.289799999999998,44,0.0001,0.068603515625,3668,-0.8761756755411625,0.006272607,0.6312295198440552,0.2,0.22916395962238312,0.6715939752757549,-0.006205515150213614
943136,160.49,183,250,12.2904,45,0.0001,0.024658203125,3672,-0.9371798895299435,0.006678231,0.6586902737617493,0.2,0.17732924222946167,0.6824751291424036,-0.003582989680580795
944160,159.16,183,256,12.130299999999998,46,0.0001,0.0087890625,3676,-0.9237796701490879,0.0023140563,0.6839213371276855,0.2,0.29135599732398987,0.6096941772848368,-0.00045898574171587825
945184,159.7,183,261,12.304400000000001,47,0.0001,0.06640625,3680,-0.9454004466533661,0.009654086,0.618132472038269,0.2,0.31175166368484497,0.7599866613745689,-0.002916113007813692
946208,160.68,183,267,12.298699999999997,48,0.0001,0.02783203125,3684,-0.9099135585129261,0.005871714,0.6045582890510559,0.2,0.24790461361408234,0.6170180570334196,-0.0019912509887944907
947232,158.36,183,272,12.173499999999999,49,0.0001,0.15625,3688,-0.9219723641872406,0.022021439,0.669558584690094,0.2,0.23018638789653778,0.5493416842073202,-0.010444792394991964
