time/total_timesteps,time/iterations,time/time_elapsed,time/fps,train/policy_gradient_loss,rollout/ep_len_mean,train/explained_variance,train/clip_range,train/value_loss,rollout/ep_rew_mean,train/entropy_loss,train/clip_fraction,train/n_updates,train/loss,train/learning_rate,train/approx_kl
2431988,11,65,171,-0.001682029978837818,254.8095238095238,0.8376038074493408,0.2,0.10669218329712749,18.60833333333333,-0.2594354832544923,0.001953125,9475,0.03804266080260277,1e-05,0.00045395142
2433012,12,71,170,-0.0008233469416154549,257.1304347826087,0.4271247386932373,0.2,0.5641259755939245,18.75597826086956,-0.2164446273818612,0.000732421875,9479,0.3743639886379242,1e-05,0.00033355143
2434036,13,78,170,-0.0015090694651007652,258.0,0.806519091129303,0.2,0.07427857001312077,18.8799,-0.21901499293744564,0.000244140625,9483,0.028412360697984695,1e-05,0.00038733316
2435060,14,84,170,-0.0006166757957544178,255.14814814814815,0.7636381387710571,0.2,0.06587450113147497,18.65472222222222,-0.20104350801557302,0.00048828125,9487,0.020289378240704536,1e-05,0.00031949684
2436084,15,90,170,-0.00045448404853232205,255.29310344827587,0.22943049669265747,0.2,0.6022559627890587,18.535,-0.20898673310875893,0.000732421875,9491,0.31377947330474854,1e-05,0.00026450958
2437108,16,96,170,-0.0008321075001731515,257.758064516129,0.4001692533493042,0.2,0.5279811630025506,18.610000000000003,-0.2340436177328229,0.00048828125,9495,0.19721899926662445,1e-05,0.00024780747
2438132,17,102,170,-0.0020003211102448404,258.2307692307692,0.8838053345680237,0.2,0.08114301972091198,18.71476923076923,-0.2608518246561289,0.0,9499,0.03158620744943619,1e-05,0.00037126336
2439156,18,108,169,-0.001258162097656168,259.463768115942,0.8368098139762878,0.2,0.06904265028424561,18.840434782608703,-0.21552422270178795,0.001953125,9503,0.025250256061553955,1e-05,0.0004975514
2440180,19,114,170,-0.001203018386149779,257.55405405405406,0.6375555992126465,0.2,0.07000452326610684,18.401621621621622,-0.21321890223771334,0.001708984375,9507,0.020388076081871986,1e-05,0.00055626524
2441204,20,120,170,0.0003954316343879327,257.961038961039,0.4524487853050232,0.2,1.2752487882971764,18.497467532467535,-0.29666570387780666,0.004150390625,9511,0.6356148719787598,1e-05,0.0010774503
2442228,21,126,170,-0.0008936214144341648,258.3375,0.5420337915420532,0.2,0.08296784362755716,18.5868125,-0.21596945729106665,0.00048828125,9515,0.027493510395288467,1e-05,0.00017872162
2443252,22,132,170,-0.0016211563488468528,260.39285714285717,0.8319272398948669,0.2,0.08474980876781046,18.663095238095238,-0.2669864660128951,0.0,9519,0.038136985152959824,1e-05,0.00017384038
2444276,23,138,170,-0.0021542298345593736,260.7386363636364,0.821230411529541,0.2,0.07034109300002456,18.763863636363634,-0.24233945086598396,0.000244140625,9523,0.03500855341553688,1e-05,0.00039791962
2445300,24,144,170,-0.0014983140135882422,261.05434782608694,0.6614992618560791,0.2,0.04884405410848558,18.855869565217393,-0.20366617571562529,0.00048828125,9527,0.02141762152314186,1e-05,0.0005996451
2446324,25,150,170,-0.00010478461626917124,261.2736842105263,0.6955735683441162,0.2,0.03729558642953634,18.919789473684215,-0.20457637961953878,0.0009765625,9531,0.007493889890611172,1e-05,0.0004283302
2447348,26,156,170,-0.0022066802630433813,261.54545454545456,0.7626132369041443,0.2,0.028835773118771613,18.9989898989899,-0.2075839377939701,0.0009765625,9535,0.002490142360329628,1e-05,0.00025536888
2448372,27,162,170,-0.0009251859155483544,258.05,0.7603487968444824,0.2,0.02903729595709592,18.66535,-0.2087129009887576,0.002685546875,9539,0.005094301421195269,1e-05,0.0007323576
2449396,28,168,170,0.0007495917670894414,259.72,0.3046509623527527,0.2,0.9377941153943539,18.84605,-0.233877157792449,0.00048828125,9543,0.6528391242027283,1e-05,0.00025235687
2450420,29,174,170,-0.0008620838489150628,263.06,0.6371220350265503,0.2,0.03589441510848701,19.206450000000004,-0.21301801688969135,0.000732421875,9547,0.015530257485806942,1e-05,0.0004044554
2451444,30,179,170,-0.002012604381889105,264.08,0.5701137185096741,0.2,0.0854953327216208,19.207,-0.25588688906282187,0.0009765625,9551,0.02988164871931076,1e-05,0.00040872185
2452468,31,185,170,-0.002248582779429853,266.14,0.7834751009941101,0.2,0.09498970350250602,19.15755,-0.2417990965768695,0.008544921875,9555,0.02541632205247879,1e-05,0.0016121134
2453492,32,191,170,-0.0034629907459020615,266.57,0.8330729603767395,0.2,0.10634996322914958,19.132250000000003,-0.2945582438260317,0.0009765625,9559,0.031974244862794876,1e-05,0.0011612748
2454516,33,197,170,-0.0016086891700979322,266.19,0.8531323671340942,0.2,0.05718075390905142,19.130750000000003,-0.23709932807832956,0.00244140625,9563,0.019408755004405975,1e-05,0.00057845504
2455540,34,203,170,-0.0022561086880159564,268.07,0.8595499396324158,0.2,0.05066077341325581,19.287750000000003,-0.23164659552276134,0.000732421875,9567,0.01629980467259884,1e-05,0.00047317747
2456564,35,209,170,-0.003063579322770238,267.08,0.8286900520324707,0.2,0.05077243107371032,19.152300000000004,-0.21954932808876038,0.002197265625,9571,0.010128624737262726,1e-05,0.0006046873
2457588,36,215,170,-0.0009500901796855032,264.54,0.2021106481552124,0.2,0.5155094680376351,18.996900000000004,-0.2017111573368311,0.00048828125,9575,0.4557040333747864,1e-05,0.00028964615
2458612,37,221,170,-0.0019503043440636247,265.3,0.3595429062843323,0.2,0.45260990876704454,19.13095,-0.20801942609250546,0.00048828125,9579,0.2028716653585434,1e-05,0.00028190773
2459636,38,227,170,-0.0036697685718536377,265.3,0.8450005650520325,0.2,0.055407377891242504,19.130950000000002,-0.23342886473983526,0.00244140625,9583,0.02171141281723976,1e-05,0.0008767032
2460660,39,233,170,-0.0007153177575673908,265.3,0.8073611855506897,0.2,0.024325945414602757,19.153950000000002,-0.2115203868597746,0.000244140625,9587,0.008187692612409592,1e-05,0.00015817216
2461684,40,239,170,-0.0008846788259688765,263.64,0.7999588251113892,0.2,0.02101554605178535,18.97375,-0.20887120347470045,0.000732421875,9591,0.0045176055282354355,1e-05,0.00022497552
2462708,41,245,170,-0.0012008922058157623,264.22,0.4295324683189392,0.2,0.45825874991714954,19.131449999999997,-0.24776399973779917,0.00146484375,9595,0.18058544397354126,1e-05,0.00043660752
2463732,42,251,170,-0.0011672557739075273,263.76,0.16557520627975464,0.2,0.5204946016892791,19.1543,-0.2133560497313738,0.00048828125,9599,0.08337307721376419,1e-05,0.00014659693
2464756,43,257,171,-0.0020498454105108976,263.95,0.7595187425613403,0.2,0.09408060926944017,19.131700000000002,-0.2574633629992604,0.001953125,9603,0.03978528454899788,1e-05,0.00047120202
2465780,44,263,171,-0.0018080986774293706,264.06,0.8370154500007629,0.2,0.051132013788446784,19.1086,-0.2387444693595171,0.005615234375,9607,0.01704816333949566,1e-05,0.0010372053
2466804,45,269,170,-0.0025807253550738096,265.9,0.7797797322273254,0.2,0.04776904871687293,19.535300000000003,-0.21205167565494776,0.00048828125,9611,0.016489259898662567,1e-05,0.00044793816
2467828,46,275,171,-0.0008836290217004716,265.9,0.7987073063850403,0.2,0.019603476277552545,19.535850000000003,-0.20093987975269556,0.001708984375,9615,0.006059055216610432,1e-05,0.0005877313
2468852,47,281,171,-0.0014426689958781935,265.9,0.8377686738967896,0.2,0.015592080424539745,19.535850000000003,-0.20431487448513508,0.0029296875,9619,0.0019694864749908447,1e-05,0.00090637733
2469876,48,287,171,-0.002115150273311883,266.1,0.8087468147277832,0.2,0.050008259480819106,19.516050000000003,-0.23724740836769342,0.014892578125,9623,0.0298794936388731,1e-05,0.0020564636
2470900,49,293,171,-0.0022025661019142717,266.1,0.8212484121322632,0.2,0.08899002708494663,19.516050000000003,-0.2662947792559862,0.000732421875,9627,0.042538225650787354,1e-05,0.00053787825
2471924,50,299,171,-0.0038935852353461087,266.24,0.7337077856063843,0.2,0.03253074665553868,19.489,-0.21085960697382689,0.0087890625,9631,0.014800731092691422,1e-05,0.0016421821
2472948,51,305,171,-0.0015488993958570063,265.24,0.8055803775787354,0.2,0.0347573907347396,19.35355,-0.20461330097168684,0.005859375,9635,0.013459427282214165,1e-05,0.0012019514
2473972,52,311,171,-0.0012790817927452736,265.24,0.17078542709350586,0.2,0.5113045314792544,19.352999999999998,-0.19823401980102062,0.00048828125,9639,0.32572659850120544,1e-05,0.0003118309
2474996,53,316,171,-0.0006177982431836426,266.79,0.8436273336410522,0.2,0.014591453946195543,19.550150000000002,-0.20098581351339817,0.000244140625,9643,0.005467887967824936,1e-05,0.00028173922
2476020,54,322,171,-0.0020244198094587773,268.41,0.8622636795043945,0.2,0.012290736485738307,19.730300000000003,-0.19678174518048763,0.00341796875,9647,-0.000956239178776741,1e-05,0.0011174306
2477044,55,328,171,-0.0014052173646632582,268.41,0.8875276446342468,0.2,0.009461641602683812,19.730300000000003,-0.1937257507815957,0.001220703125,9651,-4.339567385613918e-05,1e-05,0.00069812546
2478068,56,334,171,-0.0019270199118182063,267.39,0.8029541969299316,0.2,0.01465394179103896,19.753700000000002,-0.19173739105463028,0.000244140625,9655,0.0013459352776408195,1e-05,0.00055692886
2479092,57,340,171,-0.0012859144480898976,265.23,0.7682387232780457,0.2,0.02766894642263651,19.6421,-0.19681271072477102,0.000244140625,9659,0.00904136709868908,1e-05,0.00028011145
2480116,58,346,171,-0.00044424840598367155,265.23,0.42148441076278687,0.2,0.6055166684091091,19.64265,-0.24899535812437534,0.00048828125,9663,0.3253132402896881,1e-05,0.00026035722
2481140,59,352,171,-0.0010099155188072473,264.91,0.841606616973877,0.2,0.015648165077436715,19.667250000000003,-0.1795526361092925,0.00048828125,9667,0.005631230305880308,1e-05,0.0003568509
2482164,60,358,171,-0.0010520906798774377,264.67,0.8764750361442566,0.2,0.009238212456693873,19.690450000000002,-0.17549295257776976,0.0009765625,9671,-0.0007296146359294653,1e-05,0.0005869768
2483188,61,364,171,-0.000725423131370917,265.66,0.8515944480895996,0.2,0.01070999720832333,19.8248,-0.17629806976765394,0.0,9675,0.00021615112200379372,1e-05,0.00015840569
2484212,62,370,171,-0.0017253957921639085,266.22,0.7946657538414001,0.2,0.012540311319753528,19.861900000000002,-0.1772975893691182,0.002685546875,9679,0.0039663659408688545,1e-05,0.00063628197
2485236,63,376,171,-0.0006645004614256322,266.68,0.3178715109825134,0.2,0.4768407763913274,19.83715,-0.20307451393455267,0.0,9683,0.31610313057899475,1e-05,0.00022363366
2486260,64,382,171,-0.0016109756543301046,266.56,0.8394351601600647,0.2,0.03263090597465634,19.83615,-0.19691543001681566,0.000244140625,9687,0.017937472090125084,1e-05,0.00028229813
2487284,65,388,171,-0.0034996792091988027,267.01,0.8231911659240723,0.2,0.04410764295607805,19.813850000000002,-0.2138248924165964,0.003662109375,9691,0.014484655112028122,1e-05,0.0009770588
2488308,66,394,171,-0.00515622174134478,268.67,0.886868417263031,0.2,0.039957723347470164,19.99405,-0.2095243688672781,0.013671875,9695,0.009177831932902336,1e-05,0.0023340026
2489332,67,400,171,-0.0022423121699830517,271.23,0.7881627678871155,0.2,0.032150644809007645,20.148199999999996,-0.1814412334933877,0.003662109375,9699,0.014599127694964409,1e-05,0.0011729393
2490356,68,406,171,-0.0007301082805497572,270.86,0.8061550259590149,0.2,0.08172425860539079,20.148,-0.20114175137132406,0.0,9703,0.04983582720160484,1e-05,6.107427e-05
2491380,69,412,171,-0.0016071326099336147,270.21,0.8399658799171448,0.2,0.04338014277163893,20.1705,-0.18425778858363628,0.000732421875,9707,0.015065331012010574,1e-05,0.00025370717
2492404,70,418,171,-0.001085514493752271,270.57,0.8500745892524719,0.2,0.013303478481248021,20.147750000000002,-0.17157202307134867,0.0,9711,0.003853030037134886,1e-05,5.7159865e-05
2493428,71,424,171,-0.0019582909590099007,270.46,0.8866614699363708,0.2,0.03877997328527272,20.17085,-0.20028119999915361,0.00048828125,9715,0.017010118812322617,1e-05,0.00030706875
2494452,72,430,171,-0.002443529316224158,270.21,0.6807409524917603,0.2,0.03210509195923805,20.060299999999998,-0.18600610923022032,0.00244140625,9719,0.009445853531360626,1e-05,0.00046958576
2495476,73,436,171,-0.0010577437933534384,270.54,0.48678773641586304,0.2,0.4274768466129899,20.037,-0.18103202059864998,0.000244140625,9723,0.09614261984825134,1e-05,0.0003040693
2496500,74,442,171,-0.0017608655616641045,269.0,0.8825928568840027,0.2,0.040559130255132914,20.08445,-0.20176644809544086,0.000244140625,9727,0.01756126806139946,1e-05,0.00039854448
2497524,75,448,171,-0.0008994392119348049,267.33,0.8871777653694153,0.2,0.011389334191335365,19.9043,-0.18045147880911827,0.000244140625,9731,0.0005156607367098331,1e-05,8.6123415e-05
2498548,76,454,171,-0.0006279900553636253,267.19,0.3743424415588379,0.2,0.4469440192915499,19.931350000000002,-0.1914641996845603,0.003173828125,9735,0.35671624541282654,1e-05,0.0004526258
2499572,77,460,171,-0.001026647019898519,268.19,0.879409670829773,0.2,0.011353995243553072,20.066800000000004,-0.1794435940682888,0.0,9739,0.004060921724885702,1e-05,0.00022090139
2500596,78,466,171,-0.0008601285662734881,267.09,0.8130714893341064,0.2,0.017051720118615776,19.92425,-0.18000818230211735,0.000244140625,9743,0.006754908245056868,1e-05,0.00026568177
2501620,79,472,171,-0.001980998698854819,267.09,0.2804638147354126,0.2,0.3510742848739028,19.92425,-0.17302410583943129,0.001708984375,9747,0.2033717781305313,1e-05,0.0005554617
2502644,80,478,171,-0.00026020385848823935,268.99,0.6672537326812744,0.2,0.10813756566494703,19.7853,-0.2536064041778445,0.00146484375,9751,0.04464314877986908,1e-05,0.00060334965
2503668,81,484,171,-0.0010645976872183383,268.99,0.6259737014770508,0.2,0.4192227656021714,19.785300000000003,-0.2366198292002082,0.000732421875,9755,0.22994579374790192,1e-05,0.0005239939
2504692,82,490,171,-0.0013852693373337388,269.0,0.8403290510177612,0.2,0.017849077587015927,19.761799999999997,-0.17374188639223576,0.00244140625,9759,0.003530870657414198,1e-05,0.000616636
2505716,83,496,171,-0.0033718685735948384,269.23,0.7700605392456055,0.2,0.030638958618510514,19.738199999999996,-0.17312084324657917,0.0,9763,0.020104099065065384,1e-05,0.00049366633
2506740,84,502,171,-0.0016083517984952778,269.32,0.7945293188095093,0.2,0.09419399127364159,19.8991,-0.20169196743518114,0.000244140625,9767,0.04072000831365585,1e-05,0.00020176766
2507764,85,508,171,-0.0010989975417032838,269.32,0.9015730023384094,0.2,0.009870588692137972,19.89745,-0.16048569791018963,0.002197265625,9771,0.002979001495987177,1e-05,0.0006169689
2508788,86,515,170,-0.0016458784812130034,269.32,0.9157240390777588,0.2,0.007025101396720856,19.898000000000003,-0.16255292389541864,0.000244140625,9775,-0.002918290439993143,1e-05,0.000306128
2509812,87,521,170,-0.0002454655186738819,269.32,0.9216163158416748,0.2,0.00632256010430865,19.898000000000003,-0.16561866272240877,0.0,9779,0.001053802901878953,1e-05,0.00013216952
2510836,88,527,170,-0.0010737869597505778,270.43,0.9253517389297485,0.2,0.005579401651630178,20.042150000000003,-0.16156540717929602,0.001953125,9783,0.0003965625073760748,1e-05,0.00041001017
2511860,89,533,170,-0.0012418736587278545,269.97,0.9243404269218445,0.2,0.0049430327489972115,20.067449999999997,-0.16433428414165974,0.000244140625,9787,1.183943822979927e-06,1e-05,0.0004344267
2512884,90,540,170,-0.0020662532187998295,269.65,0.92450350522995,0.2,0.004697304044384509,20.09185,-0.16121513955295086,0.002197265625,9791,-0.0028606124687939882,1e-05,0.00079753547
2513908,91,546,170,-0.0013853275449946523,269.65,0.918001651763916,0.2,0.004907733586151153,20.0913,-0.16078179981559515,0.00146484375,9795,-0.002803484443575144,1e-05,0.0006142477
2514932,92,552,170,-0.0016084297967609018,267.49,0.8998572826385498,0.2,0.005665817152475938,19.93355,-0.16058931965380907,0.001953125,9799,0.001137863495387137,1e-05,0.00037908665
2515956,93,559,170,-0.0011383806413505226,266.72,0.3376427888870239,0.2,0.3158492222428322,19.98175,-0.1581992944702506,0.004150390625,9803,0.09978416562080383,1e-05,0.0010666174
2516980,94,565,170,-0.0007740608125459403,266.92,0.9131125211715698,0.2,0.005749430012656376,19.9899,-0.15984526742249727,0.000244140625,9807,0.0006229437422007322,1e-05,0.00017452304
2518004,95,572,170,-0.003045333636691794,266.92,0.8693556189537048,0.2,0.03290917782578617,19.989900000000002,-0.18980267830193043,0.017822265625,9811,0.012169328518211842,1e-05,0.0023505145
2519028,96,578,169,-0.0016622505354462191,266.92,0.7252435684204102,0.2,0.01775199855910614,19.99045,-0.15943341609090567,0.000732421875,9815,0.0037518187891691923,1e-05,0.0002465577
2520052,97,584,169,-0.00024205996305681765,267.88,0.4007812738418579,0.2,0.16074014687910676,19.988950000000003,-0.12942935293540359,0.00048828125,9819,0.04892175644636154,1e-05,0.0001506494
2521076,98,591,169,-0.0006034554971847683,268.0,0.683506965637207,0.2,0.1549161341972649,19.987,-0.19956914894282818,0.000732421875,9823,0.05177056044340134,1e-05,0.00026945607
2522100,99,597,169,-0.0008369091665372252,268.38,0.6882205009460449,0.2,0.11664214869961143,20.07255,-0.14699145359918475,0.001708984375,9827,0.035548023879528046,1e-05,0.00027375598
2523124,100,603,169,-0.0017458767688367516,266.04,0.7948322296142578,0.2,0.12251033075153828,19.8052,-0.16129955276846886,0.00341796875,9831,0.037676844745874405,1e-05,0.0006499589
2524148,101,610,169,-0.0005705610965378582,280.39,0.47079622745513916,0.2,0.719805620610714,19.7157,-0.19315220974385738,0.00146484375,9835,0.3022496700286865,1e-05,0.00036721892
2525172,102,616,169,-0.0012218276970088482,282.06,0.7382832765579224,0.2,0.12217058194801211,19.895850000000003,-0.2516362061724067,0.000732421875,9839,0.03912843018770218,1e-05,0.0003500688
2526196,103,622,169,-0.0009629808482713997,282.06,0.23579180240631104,0.2,0.05226026149466634,19.895850000000003,-0.17210911214351654,0.000244140625,9843,0.017511926591396332,1e-05,0.00038996385
2527220,104,629,169,-0.0012384727306198329,282.06,0.5396901369094849,0.2,0.031975567108020186,19.895850000000003,-0.16569647938013077,0.001953125,9847,0.009675892069935799,1e-05,0.00062653277
2528244,105,635,169,-0.0016137506754603237,282.2,0.4418864846229553,0.2,0.05711793294176459,19.89575,-0.15883847698569298,0.002197265625,9851,0.008991880342364311,1e-05,0.0006232144
2529268,106,641,169,-0.000728022278053686,282.2,0.19018906354904175,0.2,0.4820991065353155,19.895750000000003,-0.16158295422792435,0.00048828125,9855,0.19079697132110596,1e-05,0.00025438465
2530292,107,648,168,-0.00017189815116580576,281.46,0.688175618648529,0.2,0.014879912429023534,19.9208,-0.1570718316361308,0.0,9859,0.004872582852840424,1e-05,5.9746613e-05
2531316,108,654,168,-0.0017115919617936015,280.8,0.6958954334259033,0.2,0.026253607007674873,20.01125,-0.1732179345563054,0.00048828125,9863,0.0006518028676509857,1e-05,0.00020934554
2532340,109,661,168,-0.002003674249863252,280.99,0.8046046495437622,0.2,0.04456872679293156,20.018700000000003,-0.19165528565645218,0.00146484375,9867,0.009853512048721313,1e-05,0.00061484036
2533364,110,667,168,-0.0015175717853708193,280.99,0.755192220211029,0.2,0.03553936304524541,20.0198,-0.18066034838557243,0.0029296875,9871,0.010584772564470768,1e-05,0.0009602368
