decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated
161,644,1820,107,1820,3,right+B,5.78731378482189e-05,0.002251129364594817,0.0006169597618281841,0.9892183542251587,0.007855658419430256,0.06764422357082367,7.0,1758.0,0,2,368,0,0,0
162,648,1827,87,1827,3,right+B,1.3194341590860859e-05,0.000597255420871079,2.65631424554158e-05,0.999114453792572,0.00024850969202816486,0.007809459697455168,7.0,1765.0,0,2,368,0,0,0
163,652,1834,79,1834,3,right+B,8.26449650048744e-06,0.00038950640009716153,1.4070587894821074e-05,0.9994851350784302,0.0001029956983984448,0.004772088024765253,7.0,1772.0,0,2,368,0,0,0
164,656,1843,79,1843,3,right+B,3.382630166015588e-05,0.0012946854112669826,0.0001686936739133671,0.9979302883148193,0.0005725419614464045,0.01676456443965435,9.0,1781.0,0,2,368,0,0,0
165,660,1854,79,1854,3,right+B,5.240832251729444e-05,0.001820072066038847,0.0007751518860459328,0.9956380724906921,0.0017143025761470199,0.03282169997692108,10.0,1791.0,0,2,367,0,0,0
166,664,1866,79,1866,3,right+B,0.00010966331319650635,0.003990435041487217,0.00296508870087564,0.984531819820404,0.008403007872402668,0.09580930322408676,12.0,1803.0,0,2,367,0,0,0
167,668,1878,79,1878,3,right+B,3.2877647754503414e-05,0.0016864793142303824,0.0005475332727655768,0.9950789213180542,0.0026542230043560266,0.03587264567613602,12.0,1815.0,0,2,367,0,0,0
168,672,1890,79,1890,3,right+B,3.824176383204758e-05,0.0021295356564223766,0.0010797629365697503,0.9938390851020813,0.0029133849311619997,0.044016800820827484,12.0,1827.0,0,2,367,0,0,0
169,676,1902,79,1902,3,right+B,1.4771441783523187e-05,0.0010241387644782662,0.00025925246882252395,0.9982080459594727,0.0004937302437610924,0.014904399402439594,12.0,1839.0,0,2,367,0,0,0
170,680,1914,79,1914,3,right+B,3.82881489713327e-06,0.000316834106342867,2.256106017739512e-05,0.999613344669342,4.34531357313972e-05,0.0036653962451964617,11.0,1850.0,0,2,366,0,0,0
171,684,1926,79,1926,3,right+B,1.6954578313743696e-05,0.001637249835766852,0.00033876090310513973,0.9975742697715759,0.0004327563219703734,0.01917002908885479,12.0,1862.0,0,2,366,0,0,0
172,688,1938,97,1938,2,right+A,0.00026961861294694245,0.029255269095301628,0.1385510116815567,0.7636462450027466,0.06827792525291443,0.768572211265564,12.0,1874.0,0,2,366,0,0,0
173,692,1950,117,1950,2,right+A,1.9618510123109445e-05,0.0021416996605694294,0.8518586158752441,0.001021684962324798,0.14495837688446045,0.43695324659347534,12.0,1886.0,0,2,366,0,0,0
174,696,1962,133,1962,2,right+A,2.68503913503082e-06,0.0002869450836442411,0.7201210260391235,3.871712397085503e-05,0.27955055236816406,0.5955169200897217,12.0,1898.0,0,2,366,0,0,0
175,700,1974,147,1974,2,right+A,1.0137882782146335e-06,8.753990550758317e-05,0.4135337769985199,7.182109584391583e-06,0.5863704681396484,0.6790805459022522,11.0,1909.0,0,2,365,0,0,0
176,704,1986,156,1986,4,right+A+B,5.787659347333829e-07,3.41493432642892e-05,0.1672026664018631,1.2526644468380255e-06,0.8327612280845642,0.4518287479877472,12.0,1921.0,0,2,365,0,0,0
177,708,1998,162,1998,4,right+A+B,2.315530309715541e-06,0.00014663486217614263,0.10558319836854935,1.4820912838331424e-05,0.8942529559135437,0.3388151526451111,12.0,1933.0,0,2,365,0,0,0
178,712,2010,165,2010,4,right+A+B,0.0002512255741748959,0.024303698912262917,0.06236620992422104,0.1586693972349167,0.7544095516204834,0.7701790928840637,12.0,1945.0,0,2,365,0,0,0
179,716,2022,162,2022,3,right+B,6.817880603193771e-06,0.001060336478985846,1.3728279554925393e-05,0.9986989498138428,0.00022021311451680958,0.010651698336005211,12.0,1957.0,0,2,365,0,0,0
180,720,2034,147,2034,3,right+B,1.0422303375889896e-06,0.00016180310922209173,3.914679211902694e-07,0.9998315572738647,5.178829269425478e-06,0.0016643349081277847,11.0,1968.0,0,2,364,0,0,0
181,724,2046,127,2046,3,right+B,1.1961434154272865e-07,2.2218953745323233e-05,1.7582244993263885e-08,0.9999774694442749,2.588679137716099e-07,0.00026710081147029996,12.0,1980.0,0,2,364,0,0,0
182,728,2058,107,2058,3,right+B,6.220480486263114e-08,1.025475467031356e-05,7.820254666057735e-09,0.9999895095825195,1.431546508001702e-07,0.00013172870967537165,12.0,1992.0,0,2,364,0,0,0
183,732,2070,87,2070,3,right+B,3.8618969711023965e-07,4.116943455301225e-05,2.436325416965701e-07,0.999954342842102,3.893996108672582e-06,0.000519412336871028,12.0,2004.0,0,2,364,0,0,0
184,736,2082,79,2082,3,right+B,4.5283883082447574e-05,0.002589551731944084,0.0009306561551056802,0.9736433029174805,0.02279115468263626,0.13456077873706818,12.0,2016.0,0,2,364,0,0,0
185,740,2094,97,2094,4,right+A+B,1.4646592717326712e-05,0.0004895950551144779,0.05836765468120575,0.0005235614371486008,0.9406045079231262,0.23126786947250366,11.0,2027.0,0,2,363,0,0,0
186,744,2106,117,2106,4,right+A+B,5.65387972528697e-06,0.00011810637806775048,0.09778233617544174,1.2675188372668345e-05,0.9020811915397644,0.3215845227241516,12.0,2039.0,0,2,363,0,0,0
187,748,2118,133,2118,4,right+A+B,3.196383477188647e-05,0.0006552211125381291,0.2082033008337021,0.00011460791574791074,0.7909949421882629,0.5183544754981995,12.0,2051.0,0,2,363,0,0,0
188,752,2130,147,2130,2,right+A,7.62523950470495e-06,0.00016470981063321233,0.36839285492897034,4.0142203943105415e-06,0.6314307451248169,0.6597645282745361,12.0,2063.0,0,2,363,0,0,0
189,756,2142,156,2142,4,right+A+B,1.9364206309546717e-06,4.537688073469326e-05,0.3269280195236206,3.122814291600662e-07,0.6730244159698486,0.6324944496154785,12.0,2075.0,0,2,363,0,0,0
190,760,2154,162,2154,4,right+A+B,1.5068962966324762e-06,4.445918966666795e-05,0.12243349105119705,4.1579627918508777e-07,0.8775202035903931,0.3722577691078186,11.0,2086.0,0,2,362,0,0,0
191,764,2166,165,2166,4,right+A+B,5.596796836471185e-05,0.0024392148479819298,0.15821997821331024,0.0013305176980793476,0.8379542827606201,0.46389782428741455,12.0,2098.0,0,2,362,0,0,0
192,768,2178,162,2178,3,right+B,0.0002769316197372973,0.01857581175863743,0.02225293219089508,0.86848384141922,0.09041053056716919,0.5007422566413879,12.0,2110.0,0,2,362,0,0,0
193,772,2190,147,2190,3,right+B,8.297681233671028e-06,0.0007982272654771805,4.8071338824229315e-05,0.9987494945526123,0.00039589061634615064,0.01062010321766138,12.0,2122.0,0,2,362,0,0,0
194,776,2202,161,2202,2,right+A,0.0003425785107538104,0.013505826704204082,0.25526073575019836,0.08388293534517288,0.647007942199707,0.8990169167518616,12.0,2134.0,0,2,362,0,0,0
195,780,2214,181,2214,4,right+A+B,7.142722461139783e-05,0.0017580841667950153,0.4935756325721741,0.0013278659898787737,0.5032669901847839,0.7146944403648376,11.0,2145.0,0,2,361,0,0,0
196,784,2226,197,2226,4,right+A+B,0.0004962623352184892,0.015811823308467865,0.016531897708773613,0.9075646996498108,0.059595294296741486,0.39326322078704834,12.0,2157.0,0,2,361,0,0,0
197,788,2238,209,2238,3,right+B,4.0482285839971155e-05,0.0017472535837441683,0.00018682455993257463,0.9961221814155579,0.0019032185664400458,0.028900329023599625,12.0,2169.0,0,2,361,0,0,0
198,792,2250,208,2250,3,right+B,7.201478001661599e-05,0.002494664629921317,0.00025741176796145737,0.9922680258750916,0.004907872993499041,0.051563095301389694,12.0,2181.0,0,2,361,0,0,0
199,796,2262,193,2262,3,right+B,0.00033856561640277505,0.008027992211282253,0.0023907129652798176,0.9514698386192322,0.037772879004478455,0.22695311903953552,12.0,2193.0,0,2,361,0,0,0
200,800,2274,173,2274,3,right+B,0.0013974682660773396,0.031003782525658607,0.13774476945400238,0.2700423300266266,0.5598115921020508,1.0682510137557983,11.0,2204.0,0,2,360,0,0,0
201,804,2286,153,2286,4,right+A+B,0.0002137954579666257,0.002608845243230462,0.30316343903541565,0.0010017348686233163,0.6930122375488281,0.6401975750923157,12.0,2216.0,0,2,360,0,0,0
202,808,2298,133,2298,3,right+B,0.0033394310157746077,0.050481632351875305,0.07788800448179245,0.4976385831832886,0.37065237760543823,1.0837563276290894,12.0,2228.0,0,2,360,0,0,0
203,812,2310,113,2310,3,right+B,0.0004431593115441501,0.008065206930041313,0.0009474910330027342,0.9824056029319763,0.008138523437082767,0.10548843443393707,12.0,2240.0,0,2,360,0,0,0
