rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/total_timesteps,time/iterations,time/time_elapsed,train/approx_kl,train/n_updates,train/clip_fraction,train/policy_gradient_loss,train/value_loss,train/explained_variance,train/entropy_loss,train/loss,train/learning_rate,train/clip_range
122.7,176,8.6666,437456,22,127,0.004130733,1700,0.02197265625,-0.0008646697970107198,0.6250600311905146,0.34113872051239014,-0.995204284787178,0.23047982156276703,0.0001,0.2
119.8,175,8.427100000000001,438480,23,133,0.008745696,1704,0.0380859375,-0.0018215998425148427,0.6715892106294632,0.4659056067466736,-1.0294057354331017,0.33432891964912415,0.0001,0.2
123.53,175,8.665899999999999,439504,24,139,0.00040701008,1708,0.000244140625,-0.0003207716508768499,0.5732068847864866,0.4205368161201477,-0.9975832737982273,0.2879408895969391,0.0001,0.2
120.38,175,8.5257,440528,25,145,0.00033556082,1712,0.005859375,0.0009052355017047375,0.43132994696497917,0.6619788408279419,-0.9962507002055645,0.20850686728954315,0.0001,0.2
121.44,175,8.509300000000001,441552,26,151,0.0038586748,1716,0.001953125,-0.0006151313427835703,0.7406554892659187,0.4067324995994568,-1.0243891142308712,0.31027159094810486,0.0001,0.2
121.04,175,8.6326,442576,27,157,0.0057304786,1720,0.017333984375,-0.003336860507261008,0.6677484959363937,0.448947012424469,-1.0422631427645683,0.323617547750473,0.0001,0.2
120.11,175,8.7769,443600,28,163,0.0021909655,1724,0.00244140625,-9.723147377371788e-05,0.6552538424730301,0.46078115701675415,-1.0358116924762726,0.26975369453430176,0.0001,0.2
121.17,175,8.815199999999999,444624,29,169,0.0018367379,1728,0.00244140625,-0.0011918318923562765,0.858100313693285,0.19024163484573364,-1.061432607471943,0.32318490743637085,0.0001,0.2
120.35,175,8.8295,445648,30,175,0.0032957,1732,0.009033203125,-0.0025669291499070823,1.1217052787542343,0.41426074504852295,-1.1035888493061066,0.48578941822052,0.0001,0.2
119.76,175,8.795500000000002,446672,31,180,0.0027192216,1736,0.002197265625,-0.0016762785235187039,0.8283878527581692,0.3116808533668518,-1.1164379119873047,0.38317325711250305,0.0001,0.2
121.64,175,8.882700000000002,447696,32,186,0.00872606,1740,0.061279296875,-0.0031026069482322782,0.6323901787400246,0.4888353943824768,-1.1519203335046768,0.303070992231369,0.0001,0.2
116.8,175,8.4089,448720,33,192,0.008698529,1744,0.018310546875,-0.003180777217494324,0.5868962965905666,0.5218918323516846,-1.1202996522188187,0.2742122411727905,0.0001,0.2
115.03,175,8.2419,449744,34,198,0.00084484555,1748,0.00830078125,0.0007389583042822778,0.7558856755495071,0.5472276210784912,-1.1318196207284927,0.3051612079143524,0.0001,0.2
109.6,175,7.898799999999999,450768,35,204,0.006922668,1752,0.0263671875,-0.0020711819524876773,1.0607437752187252,0.16621804237365723,-1.1457465291023254,0.3852788805961609,0.0001,0.2
108.56,175,7.830799999999999,451792,36,209,0.0014417405,1756,0.013427734375,-0.0010935076425084844,0.80702830478549,0.44753485918045044,-1.1993463560938835,0.33747661113739014,0.0001,0.2
105.25,175,7.430899999999999,452816,37,215,0.0010135723,1760,0.00048828125,-0.00039623227348783985,0.7035907506942749,0.429341197013855,-1.1987996250391006,0.29897281527519226,0.0001,0.2
102.46,175,7.1034999999999995,453840,38,221,0.006741645,1764,0.018310546875,-0.002176126465201378,0.6937190108001232,0.38317978382110596,-1.1698466539382935,0.2642250061035156,0.0001,0.2
105.08,175,7.2781,454864,39,227,0.0015492253,1768,0.007080078125,-0.0006512965483125299,0.6384064927697182,0.5626552104949951,-1.149084858596325,0.26965197920799255,0.0001,0.2
110.48,175,7.7312,455888,40,233,0.0040965346,1772,0.0078125,-0.002431744520436041,0.4686054214835167,0.5816835165023804,-1.0893326252698898,0.18917647004127502,0.0001,0.2
107.14,175,7.4885,456912,41,239,0.0015711944,1776,0.008544921875,-0.0018901075818575919,0.5307145230472088,0.5375491380691528,-1.070960320532322,0.22408944368362427,0.0001,0.2
106.09,175,7.457500000000001,457936,42,244,0.0038076274,1780,0.0078125,-0.001681695197476074,0.6970610059797764,0.5601998567581177,-1.0617847293615341,0.28673553466796875,0.0001,0.2
105.41,175,7.419299999999998,458960,43,250,0.0063064178,1784,0.028076171875,-0.001954312960151583,0.6222237534821033,0.5715130567550659,-0.9989870674908161,0.2887606918811798,0.0001,0.2
108.09,175,7.6391,459984,44,256,0.004274457,1788,0.0234375,-0.002508625970222056,0.6683056131005287,0.5114904642105103,-1.1022012382745743,0.2814629375934601,0.0001,0.2
