time/time_elapsed,time/total_timesteps,time/iterations,time/fps,train/value_loss,train/explained_variance,rollout/ep_rew_mean,rollout/ep_len_mean,train/policy_gradient_loss,train/loss,train/entropy_loss,train/clip_fraction,train/approx_kl,train/learning_rate,train/n_updates,train/clip_range
89,2136044,16,183,0.36487336084246635,0.46373897790908813,-2.5840000000000005,191.82666666666665,-0.003592437715269625,0.21048285067081451,-1.5369707942008972,0.03515625,0.008781306,2.5e-05,8314,0.2
95,2137068,17,182,0.22902568709105253,0.49830538034439087,-2.7481481481481485,193.1358024691358,-0.004584174777846783,0.0623597651720047,-1.5276407301425934,0.05517578125,0.01188309,2.5e-05,8318,0.2
101,2138092,18,181,0.5510908290743828,0.43725597858428955,-2.8931034482758626,203.16091954022988,-0.0012651319411816075,0.29767072200775146,-1.4899336248636246,0.0078125,0.0034172952,2.5e-05,8322,0.2
107,2139116,19,181,0.4665164705365896,0.4802279472351074,-2.9750000000000005,206.32608695652175,-0.0037180184735916555,0.18703493475914001,-1.499180443584919,0.00341796875,0.0046584066,2.5e-05,8326,0.2
113,2140140,20,180,0.5837578438222408,0.1104651689529419,-3.070103092783505,202.5463917525773,0.0004798980080522597,0.3432193100452423,-1.492808036506176,0.0,0.00097043597,2.5e-05,8330,0.2
119,2141164,21,180,0.4136329535394907,0.45119965076446533,-3.338,203.55,-0.001891159285150934,0.16488751769065857,-1.5229566991329193,0.0,0.0015159224,2.5e-05,8334,0.2
125,2142188,22,179,0.4899490047246218,0.3283843994140625,-3.6689999999999996,199.18,-0.002949804940726608,0.14163488149642944,-1.5092064663767815,0.0205078125,0.005414298,2.5e-05,8338,0.2
131,2143212,23,179,0.3510097209364176,0.47415924072265625,-3.886,195.57,-0.004931940056849271,0.17377643287181854,-1.5422792360186577,0.001953125,0.004603207,2.5e-05,8342,0.2
137,2144236,24,178,0.17839732114225626,0.5654681921005249,-3.995,194.31,-0.0025323849986307323,0.06554464250802994,-1.524896316230297,0.017822265625,0.0061386055,2.5e-05,8346,0.2
143,2145260,25,178,0.1898459456861019,0.11285269260406494,-3.995,194.31,-0.0010862614290090278,0.055798936635255814,-1.5110252350568771,0.0,0.0013829089,2.5e-05,8350,0.2
149,2146284,26,178,0.010678298727725632,-0.37904584407806396,-3.995,194.31,9.436890832148492e-05,-0.0025577773340046406,-1.546634428203106,0.0,0.0002177899,2.5e-05,8354,0.2
154,2147308,27,178,0.005069880007795291,0.7075912952423096,-4.343999999999999,231.66,-0.001978136191610247,-0.010643917135894299,-1.5378190651535988,0.028564453125,0.007560201,2.5e-05,8358,0.2
160,2148332,28,178,0.3312819330021739,0.5330804586410522,-4.67,225.85,-0.002987575193401426,0.10510459542274475,-1.5133819058537483,0.01220703125,0.00477685,2.5e-05,8362,0.2
166,2149356,29,177,0.36871203873306513,0.465274453163147,-4.784000000000001,222.88,-0.003156221253448166,0.16203758120536804,-1.5117876678705215,0.103759765625,0.009633558,2.5e-05,8366,0.2
172,2150380,30,177,0.30337498150765896,0.30910724401474,-4.786,224.43,-0.002514074614737183,0.13174782693386078,-1.539298564195633,0.004150390625,0.0025914977,2.5e-05,8370,0.2
178,2151404,31,177,0.21697782911360264,0.4578282833099365,-4.786,224.43,-0.0012254822067916393,0.08063483983278275,-1.5482285097241402,0.0,0.003650159,2.5e-05,8374,0.2
184,2152428,32,177,0.03640916000586003,0.2929593324661255,-4.789000000000001,242.32,-0.0019334188546054065,0.008978374302387238,-1.5295971408486366,0.0,0.001977896,2.5e-05,8378,0.2
190,2153452,33,177,0.5432598534971476,0.3174888491630554,-4.788,243.39,-0.0014721862389706075,0.2399197220802307,-1.5174985900521278,0.000244140625,0.0018954361,2.5e-05,8382,0.2
196,2154476,34,177,0.1437143413349986,0.5383981466293335,-4.790000000000001,244.19,-0.0005652896070387214,0.04769761860370636,-1.5332666710019112,0.0,0.000696302,2.5e-05,8386,0.2
202,2155500,35,176,0.23301066178828478,0.41462528705596924,-4.788,247.65,-0.0035697033163160086,0.09858404099941254,-1.5369920805096626,0.00048828125,0.0030481466,2.5e-05,8390,0.2
208,2156524,36,177,0.16374752530828118,0.18549734354019165,-4.786,286.55,-0.0012961881584487855,0.08456438034772873,-1.54320777207613,0.0,0.0013200666,2.5e-05,8394,0.2
213,2157548,37,177,0.46279337257146835,0.23034363985061646,-4.7909999999999995,286.3,-0.0010229793842881918,0.24367812275886536,-1.5012488663196564,0.0,0.0005150252,2.5e-05,8398,0.2
220,2158572,38,176,0.39599153585731983,0.3961629271507263,-4.787999999999999,287.67,-0.0039325302495853975,0.165360689163208,-1.497957780957222,0.00048828125,0.0030202148,2.5e-05,8402,0.2
225,2159596,39,176,0.2918525068089366,0.15115398168563843,-4.785,286.73,-0.0025403728359378874,0.18049781024456024,-1.4911169558763504,0.01318359375,0.0060054054,2.5e-05,8406,0.2
231,2160620,40,176,0.3165287394076586,0.3120918273925781,-4.785,302.98,-0.00275772885652259,0.14490512013435364,-1.4817107543349266,0.0,0.0014346847,2.5e-05,8410,0.2
237,2161644,41,176,0.13967029796913266,0.24825334548950195,-4.791,298.36,-0.00023374977172352374,0.04763457924127579,-1.4602221474051476,0.0,0.0010191391,2.5e-05,8414,0.2
243,2162668,42,176,0.45580923929810524,0.4986763596534729,-4.8069999999999995,295.49,0.0005535660602618009,0.1987553983926773,-1.4496030882000923,0.0,0.0009216609,2.5e-05,8418,0.2
248,2163692,43,176,0.5608878564089537,0.49269527196884155,-4.816,318.04,-0.0011623281461652368,0.23835696280002594,-1.437595583498478,0.0,0.00045259512,2.5e-05,8422,0.2
254,2164716,44,176,0.5959710963070393,0.3372589945793152,-4.827999999999999,303.09,-0.002527944219764322,0.21518728137016296,-1.4578052908182144,0.00732421875,0.004411228,2.5e-05,8426,0.2
260,2165740,45,176,0.5461882576346397,0.358318567276001,-4.828999999999999,301.41,-0.003742687258636579,0.3218799829483032,-1.5058482810854912,0.000244140625,0.0019798838,2.5e-05,8430,0.2
266,2166764,46,176,0.11497018043883145,0.48941469192504883,-4.828999999999999,301.41,-0.0010625196737237275,0.017571518197655678,-1.532603107392788,0.0,0.0014108226,2.5e-05,8434,0.2
271,2167788,47,176,0.017976951799937524,0.9585832357406616,-4.828999999999999,301.41,-6.450878572650254e-05,-0.0008950033225119114,-1.5534556582570076,0.0,0.00033726182,2.5e-05,8438,0.2
277,2168812,48,177,0.015557856153463945,0.9419628381729126,-4.828999999999999,301.41,-0.00032456760527566075,-0.0070543852634727955,-1.5493609979748726,0.0,0.000770524,2.5e-05,8442,0.2
283,2169836,49,176,0.010319472014089115,0.9583331942558289,-4.834,306.2,-0.00047644099686294794,-0.0027219592593610287,-1.5366627797484398,0.0,0.00050508435,2.5e-05,8446,0.2
289,2170860,50,176,0.3516909424215555,0.628195583820343,-4.832,305.54,0.0003692044410854578,0.16886745393276215,-1.5330350026488304,0.00048828125,0.0020603803,2.5e-05,8450,0.2
295,2171884,51,177,0.2855622870847583,0.5420306921005249,-4.835999999999999,290.97,-0.0038305979542201385,0.11115562915802002,-1.524220034480095,0.0,0.0027929926,2.5e-05,8454,0.2
