decision,raw_frames,x,y,max_x,action,action_name,prob_0,prob_1,prob_2,prob_3,prob_4,action_entropy_nats,native_reward,native_reward_sum,no_progress_decisions,life,game_time,flag_get,terminated,truncated
31,124,320,86,320,3,right+B,3.513417686917819e-05,0.000838944164570421,0.001100150984711945,0.995703399181366,0.002322364831343293,0.03217034041881561,6.0,275.0,0,2,394,0,0,0
32,128,327,79,327,3,right+B,1.3820445019518957e-05,0.00044668352347798645,0.00026734932907857,0.9985962510108948,0.0006759600946679711,0.012136556208133698,7.0,282.0,0,2,394,0,0,0
33,132,336,79,336,3,right+B,2.0465682609938085e-05,0.0007049196283333004,0.0009210383868776262,0.9959982633590698,0.0023552891798317432,0.030020680278539658,9.0,291.0,0,2,394,0,0,0
34,136,347,79,347,3,right+B,2.610991032270249e-05,0.0010880323825404048,0.0013150842860341072,0.9936406016349792,0.003930211067199707,0.044532403349876404,11.0,302.0,0,2,394,0,0,0
35,140,359,79,359,3,right+B,8.924682333599776e-06,0.0006254305480979383,0.00040590768912807107,0.9978508949279785,0.0011088516330346465,0.017579467967152596,11.0,313.0,0,2,393,0,0,0
36,144,371,79,371,3,right+B,1.5216971405607183e-05,0.0011861794628202915,0.0015341234393417835,0.995814859867096,0.0014496068470180035,0.03175245225429535,12.0,325.0,0,2,393,0,0,0
37,148,383,79,383,3,right+B,4.726407496491447e-05,0.004672628361731768,0.014595755375921726,0.972077488899231,0.008606811985373497,0.1556970328092575,12.0,337.0,0,2,393,0,0,0
38,152,395,97,395,2,right+A,8.824839460430667e-05,0.009460784494876862,0.7012946009635925,0.09852493554353714,0.19063147902488708,0.8380364179611206,12.0,349.0,0,2,393,0,0,0
39,156,407,117,407,2,right+A,2.799186177071533e-06,0.0003129325632471591,0.8496774435043335,0.00011826631816802546,0.1498885303735733,0.4265096187591553,12.0,361.0,0,2,393,0,0,0
40,160,419,133,419,2,right+A,3.4208915167255327e-07,4.13498273701407e-05,0.8063002824783325,2.323693934158655e-06,0.19365568459033966,0.49196773767471313,11.0,372.0,0,2,392,0,0,0
41,164,431,147,431,4,right+A+B,2.276761506436742e-06,0.00027855311054736376,0.4802089333534241,9.462765592616051e-05,0.5194156169891357,0.6956796646118164,12.0,384.0,0,2,392,0,0,0
42,168,443,156,443,4,right+A+B,5.8523810366750695e-06,0.00083902757614851,0.09595074504613876,0.0016420611646026373,0.9015623927116394,0.33486858010292053,12.0,396.0,0,2,392,0,0,0
43,172,455,162,455,4,right+A+B,4.1852887079585344e-05,0.008387182839214802,0.009902498684823513,0.30710890889167786,0.6745595932006836,0.7143504619598389,12.0,408.0,0,2,392,0,0,0
44,176,467,165,467,4,right+A+B,1.2751803296850994e-05,0.0030281157232820988,0.0001721161970635876,0.9726152420043945,0.024171791970729828,0.13618549704551697,12.0,420.0,0,2,392,0,0,0
45,180,479,162,479,3,right+B,5.792470346932532e-06,0.0011133811203762889,1.5551560863968916e-05,0.9966644644737244,0.002200742019340396,0.024609722197055817,11.0,431.0,0,2,391,0,0,0
46,184,491,147,491,3,right+B,6.802866664656904e-06,0.0009872090304270387,2.229210986115504e-05,0.9978262782096863,0.0011574345408007503,0.017149431630969048,12.0,443.0,0,2,391,0,0,0
47,188,503,127,503,3,right+B,4.9571640374779236e-06,0.000519525958225131,1.6826581486384384e-05,0.9990411400794983,0.0004176042857579887,0.008382326923310757,12.0,455.0,0,2,391,0,0,0
48,192,515,107,515,3,right+B,3.728987849171972e-06,0.00032457042834721506,2.265669172629714e-05,0.9992808699607849,0.00036812861799262464,0.006525576114654541,12.0,467.0,0,2,391,0,0,0
49,196,527,87,527,4,right+A+B,9.111890540225431e-05,0.004385464824736118,0.07936543226242065,0.09471121430397034,0.8214467167854309,0.6105418801307678,12.0,479.0,0,2,391,0,0,0
50,200,539,79,539,4,right+A+B,8.206484380934853e-07,2.3928581867949106e-05,0.12132709473371506,4.865950359089766e-06,0.8786433339118958,0.36991187930107117,11.0,490.0,0,2,390,0,0,0
51,204,551,79,551,4,right+A+B,2.95561960683699e-07,7.542190360254608e-06,0.1438421905040741,5.79723973714863e-07,0.8561493754386902,0.411986380815506,12.0,502.0,0,2,390,0,0,0
52,208,563,79,563,2,right+A,1.2431476079655113e-06,3.2509982702322304e-05,0.1416870653629303,1.09958409666433e-05,0.8582682013511658,0.4085306227207184,12.0,514.0,0,2,390,0,0,0
53,212,575,79,575,4,right+A+B,6.43700550426729e-05,0.002265718998387456,0.11249932646751404,0.05720200762152672,0.8279685378074646,0.5801767706871033,12.0,526.0,0,2,390,0,0,0
54,216,587,79,587,3,right+B,2.6954639906762168e-05,0.0013837208971381187,0.0019385642372071743,0.9836701154708862,0.012980693019926548,0.09408827126026154,12.0,538.0,0,2,390,0,0,0
55,220,594,79,595,3,right+B,2.9695709599764086e-05,0.001471443334594369,0.0019164098193868995,0.9760510325431824,0.020531458780169487,0.12533819675445557,7.0,545.0,0,2,389,0,0,0
56,224,594,79,595,3,right+B,2.4154123821062967e-05,0.0015087721403688192,0.0019065410597249866,0.9778438806533813,0.01871660351753235,0.11836793273687363,0.0,545.0,1,2,389,0,0,0
57,228,594,79,595,3,right+B,7.078199269017205e-05,0.003770151874050498,0.0075213005766272545,0.9664756059646606,0.022162174805998802,0.17587536573410034,0.0,545.0,2,2,389,0,0,0
58,232,594,79,595,3,right+B,0.00022556608018931001,0.011474976316094398,0.10557866841554642,0.8108733296394348,0.07184752821922302,0.6497159004211426,0.0,545.0,3,2,389,0,0,0
59,236,594,93,595,2,right+A,0.0002799583016894758,0.014653880149126053,0.4054170548915863,0.42564257979393005,0.15400660037994385,1.081874966621399,0.0,545.0,4,2,389,0,0,0
60,240,594,109,595,2,right+A,0.00025294290389865637,0.013665291480720043,0.3737296760082245,0.4686140716075897,0.1437380611896515,1.062607765197754,-1.0,544.0,5,2,388,0,0,0
61,244,594,122,595,2,right+A,0.00024225596280302852,0.0131949782371521,0.3460511267185211,0.5043206214904785,0.13619109988212585,1.043095350265503,0.0,544.0,6,2,388,0,0,0
62,248,595,132,595,4,right+A+B,0.00020614721870515496,0.011728371493518353,0.30165547132492065,0.5591744780540466,0.12723557651042938,1.002784013748169,0.0,544.0,7,2,388,0,0,0
63,252,598,137,598,3,right+B,0.00017244336777366698,0.010521898046135902,0.2087157517671585,0.6842565536499023,0.0963333323597908,0.8614628911018372,3.0,547.0,0,2,388,0,0,0
64,256,601,133,601,3,right+B,0.0001703002053545788,0.010226499289274216,0.19181250035762787,0.7085614800453186,0.0892292931675911,0.8248106241226196,3.0,550.0,0,2,388,0,0,0
65,260,605,127,605,2,right+A,0.00017451024905312806,0.010230917483568192,0.1678953766822815,0.7452214360237122,0.07647775858640671,0.7637422680854797,3.0,553.0,0,2,387,0,0,0
66,264,611,127,611,3,right+B,0.00010468121035955846,0.007067518774420023,0.10251050442457199,0.8434088230133057,0.046908508986234665,0.5566116571426392,6.0,559.0,0,2,387,0,0,0
67,268,618,127,618,3,right+B,9.11409588297829e-05,0.006875075865536928,0.13477952778339386,0.8067706823348999,0.0514836348593235,0.6311507225036621,7.0,566.0,0,2,387,0,0,0
68,272,628,127,628,3,right+B,6.932915857760236e-05,0.005685887765139341,0.3648740351200104,0.49867919087409973,0.13069157302379608,1.010849118232727,10.0,576.0,0,2,387,0,0,0
69,276,638,145,638,2,right+A,3.2152736366697354e-06,0.0002746625686995685,0.9231482744216919,0.003309409599751234,0.07326443493366241,0.28650277853012085,10.0,586.0,0,2,387,0,0,0
70,280,650,165,650,2,right+A,9.992825198423816e-07,6.579625915037468e-05,0.9468718767166138,0.00013954330643173307,0.05292181298136711,0.20911145210266113,11.0,597.0,0,2,386,0,0,0
71,284,662,181,662,2,right+A,3.3525964227010263e-07,1.6538569980184548e-05,0.9558204412460327,8.198335308406968e-06,0.04415449500083923,0.1812366098165512,12.0,609.0,0,2,386,0,0,0
