rollout/ep_len_mean,time/fps,rollout/ep_rew_mean,time/time_elapsed,time/total_timesteps,time/iterations,train/clip_range,train/entropy_loss,train/approx_kl,train/policy_gradient_loss,train/value_loss,train/clip_fraction,train/explained_variance,train/n_updates,train/learning_rate,train/loss
120.4,174,8.9225,175,601300,30,0.2,-1.061121553182602,0.0051188753,0.0006314680213108659,0.9870635457336903,0.00537109375,0.38707953691482544,2340,0.0001,0.35666292905807495
119.59,174,8.7672,181,602324,31,0.2,-1.029088445007801,0.0047274698,-0.002277380524901673,0.3362155146896839,0.009521484375,0.6625255346298218,2344,0.0001,0.14715467393398285
118.0,174,8.6066,187,603348,32,0.2,-1.032181404531002,0.007387583,-0.003180952335242182,0.5358869563788176,0.027587890625,0.5753249526023865,2348,0.0001,0.22090628743171692
112.54,174,8.290199999999999,193,604372,33,0.2,-1.0385339632630348,0.007205219,-0.0041805979126365855,0.7812985554337502,0.00439453125,0.5287935733795166,2352,0.0001,0.3281129002571106
117.6,174,8.5824,199,605396,34,0.2,-1.0972742512822151,0.0099901855,-0.004532493214355782,0.8604555018246174,0.057861328125,0.48458510637283325,2356,0.0001,0.38059836626052856
121.54,174,8.766399999999999,205,606420,35,0.2,-1.1021116152405739,0.0032248304,-0.002984182385262102,0.6226730458438396,0.0029296875,0.3965006470680237,2360,0.0001,0.23286888003349304
119.23,174,8.5494,211,607444,36,0.2,-1.1163403689861298,0.0026216658,-0.0021542021131608635,0.5675645973533392,0.001953125,0.5271778702735901,2364,0.0001,0.20710471272468567
116.91,174,8.384699999999999,217,608468,37,0.2,-1.086598463356495,0.013526214,-0.004810298443771899,0.8817946650087833,0.069580078125,0.4162050485610962,2368,0.0001,0.41780418157577515
114.07,174,8.310899999999998,223,609492,38,0.2,-1.0690298900008202,0.0057115573,-0.0048798989882925525,0.8297435939311981,0.013671875,0.4072611927986145,2372,0.0001,0.4556024670600891
111.98,173,8.146300000000002,229,610516,39,0.2,-1.0577552542090416,0.0035587582,0.0005233724732534029,0.6936227791011333,0.00439453125,0.4316977858543396,2376,0.0001,0.3425656259059906
112.15,174,8.236600000000001,235,611540,40,0.2,-1.0267619043588638,0.0016292204,0.00048406014684587717,0.7928059361875057,0.0009765625,0.39689189195632935,2380,0.0001,0.3284685015678406
110.81,174,8.1841,241,612564,41,0.2,-1.0591060742735863,0.014132155,-0.004849344317335635,0.7681708596646786,0.051513671875,0.5205950140953064,2384,0.0001,0.31022927165031433
111.26,174,8.2083,247,613588,42,0.2,-1.081587754189968,0.001101461,-0.0012267465644981712,0.7042692415416241,0.001708984375,0.3715411424636841,2388,0.0001,0.28002849221229553
112.93,174,8.2648,253,614612,43,0.2,-1.0752996280789375,0.005866696,-0.002234404149930924,0.6190966814756393,0.0048828125,0.544849157333374,2392,0.0001,0.2388831079006195
