time/total_timesteps,time/fps,time/iterations,rollout/ep_rew_mean,rollout/ep_len_mean,time/time_elapsed,train/value_loss,train/clip_fraction,train/learning_rate,train/n_updates,train/clip_range,train/entropy_loss,train/loss,train/policy_gradient_loss,train/approx_kl,train/explained_variance
2150380,146,30,-2.1066000000000003,286.96,210,0.3438513893634081,0.030517578125,0.0001,8370,0.2,-1.4708387181162834,0.1285596638917923,-0.004234807041939348,0.006171791,0.20005762577056885
2151404,146,31,-2.4606,296.43,216,0.27049885876476765,0.1142578125,0.0001,8374,0.2,-1.4787382706999779,0.08237333595752716,-0.00337642605882138,0.0075481334,0.4705343246459961
2152428,146,32,-2.4606,296.43,223,0.05499275680631399,0.064453125,0.0001,8378,0.2,-1.4654962718486786,-0.011422254145145416,-0.007641777454409748,0.009861492,0.8719183206558228
2153452,146,33,-3.5290000000000004,309.72,229,0.018227865832159296,0.0546875,0.0001,8382,0.2,-1.4596840366721153,-0.02707574889063835,-0.004335722915129736,0.008918746,0.4925524592399597
2154476,147,34,-3.5290000000000004,309.72,236,0.3058504071086645,0.08642578125,0.0001,8386,0.2,-1.4596448615193367,0.1029880940914154,-0.004299948748666793,0.011583154,0.41959893703460693
2155500,147,35,-3.846,314.85,243,0.03945250355172902,0.00439453125,0.0001,8390,0.2,-1.4589490294456482,-0.02158336713910103,-0.005044786201324314,0.001385652,0.36136364936828613
2156524,146,36,-4.16,330.97,250,0.15296961506828666,0.036376953125,0.0001,8394,0.2,-1.4157581105828285,0.054562024772167206,-0.005623256845865399,0.008157089,0.7757406234741211
2157548,146,37,-4.266,329.61,257,0.361182015389204,0.0380859375,0.0001,8398,0.2,-1.428718663752079,0.11749443411827087,-0.005912069580517709,0.00885046,0.5841864347457886
2158572,147,38,-4.379,325.58,264,0.15613022493198514,0.01708984375,0.0001,8402,0.2,-1.5038323476910591,0.07351230084896088,0.0018810480833053589,0.006069488,0.49471282958984375
2159596,146,39,-4.487,341.53,271,0.22930756816640496,0.03662109375,0.0001,8406,0.2,-1.539723090827465,0.08265995234251022,-0.0008906844886951149,0.0074817818,0.47820478677749634
2160620,147,40,-4.6080000000000005,340.65,278,0.1864410312846303,0.073974609375,0.0001,8410,0.2,-1.4850360080599785,0.0028176158666610718,-0.006970008136704564,0.00897065,0.5032447576522827
2161644,146,41,-4.716,356.1,285,0.45896115899086,0.02734375,0.0001,8414,0.2,-1.505373664200306,0.19081375002861023,-0.003431308956351131,0.0054869778,0.1836445927619934
2162668,147,42,-4.828,351.37,292,0.16823374130763113,0.08837890625,0.0001,8418,0.2,-1.5245632827281952,0.041006483137607574,-0.004404327308293432,0.0121517,0.48971593379974365
2163692,147,43,-4.828,349.18,299,0.2994126258417964,0.1015625,0.0001,8422,0.2,-1.477087840437889,0.1065291166305542,-0.008343619992956519,0.018341135,0.6266342997550964
2164716,147,44,-4.825,367.85,306,0.14398851245641708,0.03857421875,0.0001,8426,0.2,-1.4465136975049973,0.045200008898973465,-0.008293724269606173,0.0066313525,0.7770492434501648
2165740,146,45,-4.828,367.19,313,0.18180061411112547,0.005615234375,0.0001,8430,0.2,-1.4292387291789055,0.0732525885105133,1.5202094800770283e-05,0.0028244236,0.428554892539978
2166764,146,46,-4.828,367.19,321,0.13816044898703694,0.013916015625,0.0001,8434,0.2,-1.4801011979579926,0.06772862374782562,-0.007307213876629248,0.0041797766,0.5191366672515869
2167788,146,47,-4.828,367.19,328,0.005990650039166212,0.016845703125,0.0001,8438,0.2,-1.4970342516899109,-0.020315924659371376,-0.001107321004383266,0.0065816357,0.9504906535148621
2168812,146,48,-4.827999999999999,403.63,335,0.006968971632886678,0.036865234375,0.0001,8442,0.2,-1.446503221988678,-0.016610153019428253,-0.005626205762382597,0.0062219827,0.9552397727966309
2169836,146,49,-4.834,396.58,342,0.5071483999490738,0.07177734375,0.0001,8446,0.2,-1.4750000163912773,0.27338317036628723,-0.004734544083476067,0.0093368115,-0.12849462032318115
2170860,146,50,-4.832,397.86,349,0.6242104545235634,0.001953125,0.0001,8450,0.2,-1.4651220440864563,0.1856628656387329,-0.004389801877550781,0.0023821048,0.1314261555671692
2171884,146,51,-4.832,413.49,356,0.22328655095770955,0.03955078125,0.0001,8454,0.2,-1.4809867069125175,0.06342156231403351,-0.005471497570397332,0.008462916,0.35217511653900146
2172908,146,52,-4.829999999999999,425.79,363,0.14797294232994318,0.025146484375,0.0001,8458,0.2,-1.5213018879294395,0.030206985771656036,-0.003942523340811022,0.006216929,0.1205294132232666
2173932,146,53,-4.827,430.42,370,0.28882565163075924,0.03173828125,0.0001,8462,0.2,-1.5167696103453636,0.0480196475982666,-0.0041855364688672125,0.005040668,0.4346380829811096
2174956,146,54,-4.824999999999999,431.63,376,0.4399183727800846,0.015625,0.0001,8466,0.2,-1.490267239511013,0.20756089687347412,-0.004449428990483284,0.0053332224,0.5569323301315308
